CHROM	START	END	REGION_ID	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank
chr2	32869759	32882918	3_Pbx1mb_peak_9909_lociStitched	Fam129b	Stxbp1	Fam129b	11
chr8	45576190	45607349	2_TAP_Pax7_MB_peak_33757_lociStitched, 6_Pbx1mb_peak_16873_lociStitched	Sorbs2		Sorbs2	11, 213
chr14	25476092	25505629	6_Pbx1mb_peak_4844_lociStitched	Zmiz1	Mir3075	Zmiz1	13
chr4	89031560	89072644	6_TAP_Pax7_MB_peak_26327_lociStitched, 7_Pbx1mb_peak_12902_lociStitched	Gm12603		Gm12603	13, 354
chr4	150798845	150808884	3_MyoD_MB_peak_1839_lociStitched, 2_Pbx1mb_peak_13464_lociStitched		1700045H11Rik,Errfi1	1700045H11Rik	13, 187
chr6	31077077	31100528	7_Pbx1mb_peak_14698_lociStitched		Mir29b-1,Mir29a	Mir29b-1	14
chr7	29999749	30009995	3_TAP_Pax7_MB_peak_31572_lociStitched, 2_MyoD_MB_peak_2142_lociStitched	Zfp568	Zfp14,Zfp74,Zfp568	Zfp568	14, 83
chr19	10279719	10301547	3_Pbx1mb_peak_9183_lociStitched	Dagla	Myrf	Dagla	15
chr9	75416193	75425218	3_TAP_Pax7_MB_peak_35979_lociStitched		4933433G15Rik,Mapk6,Leo1	4933433G15Rik	15
chr1	135844420	135864056	7_Pbx1mb_peak_920_lociStitched	Tnnt2	Tnni1,Lad1,Tnnt2	Tnnt2	16
chr8	13614957	13624185	2_MyoD_MB_peak_2255_lociStitched	Rasa3		1700029H14Rik	16
chr15	25761834	25775003	3_MyoD_MB_peak_885_lociStitched	Myo10		Fam134b	17
chr15	38699924	38712338	2_TAP_Pax7_MB_peak_13273_lociStitched		Atp6v1c1	Atp6v1c1	17
chr12	112795978	112806406	2_MyoD_MB_peak_621_lociStitched, 3_Pbx1mb_peak_3499_lociStitched		Pld4,Cdca4,BC022687	BC022687	18, 54
chr17	70706928	70738878	10_Pbx1mb_peak_8196_lociStitched, 2_MyoD_MB_peak_1186_lociStitched	Dlgap1		Tgif1	19, 92
chr15	77876081	77888628	4_Pbx1mb_peak_6363_lociStitched		Txn2,Myh9	Myh9	20
chr14	25747651	25749964	2_MyoD_MB_peak_781_lociStitched	Zcchc24	Ppifos	Zcchc24	21
chr2	167076486	167079775	2_TAP_Pax7_MB_peak_22300_lociStitched		Snord12,1500012F01Rik,Znfx1	Snord12	21
chr15	78834252	78852085	4_Pbx1mb_peak_6390_lociStitched	Cdc42ep1,Lgals2	Card10,Gga1,Sh3bp1	Cdc42ep1	22
chr19	46518616	46524056	2_MyoD_MB_peak_1328_lociStitched		Sfxn2,Arl3,Trim8	Trim8	22
chr5	53937350	53950610	3_TAP_Pax7_MB_peak_27935_lociStitched		Stim2	Stim2	22
chr18	25510710	25525906	2_MyoD_MB_peak_1219_lociStitched, 4_Pbx1mb_peak_8513_lociStitched	Celf4		Celf4	23, 148
chr4	137485622	137501243	4_Pbx1mb_peak_13314_lociStitched	Hspg2	1700013G24Rik	Hspg2	23
chr12	104992336	105026676	5_Pbx1mb_peak_3415_lociStitched	Syne3	Glrx5,Snhg10,Mir3069,Scarna13	Syne3	24
chr7	48878135	48884222	2_MyoD_MB_peak_2158_lociStitched	E2f8	Csrp3	E2f8	24
chr11	103235821	103246601	2_MyoD_MB_peak_472_lociStitched	Map3k14	1700023F06Rik,Spata32	Spata32	25
chr4	45489372	45514303	7_Pbx1mb_peak_12526_lociStitched	Shb		Shb	25
chr4	45489372	45514303	7_Pbx1mb_peak_12526_lociStitched	Shb		Shb	25
chr9	35414212	35435630	3_TAP_Pax7_MB_peak_35347_lociStitched		Cdon	Cdon	25
chr10	60813597	60822911	4_Pbx1mb_peak_1973_lociStitched	Unc5b		Unc5b	27
chr6	97216086	97223494	2_TAP_Pax7_MB_peak_30689_lociStitched, 2_MyoD_MB_peak_2078_lociStitched	Arl6ip5	Tmf1,Lmod3,Uba3	Arl6ip5	27, 96
chr14	31659682	31669527	5_Pbx1mb_peak_4894_lociStitched	Btd	Hacl1	Btd	28
chr5	111880348	111891039	3_MyoD_MB_peak_1931_lociStitched			E130006D01Rik	28
chr9	34989892	35003613	3_TAP_Pax7_MB_peak_35339_lociStitched	Kirrel3		4930581F22Rik	28
chr16	95831594	95845116	3_MyoD_MB_peak_1089_lociStitched	1600002D24Rik		1600002D24Rik	29
chr2	152903634	152927791	6_Pbx1mb_peak_10855_lociStitched	Mylk2	Ttll9,Foxs1,Dusp15	Mylk2	29
chr11	88551112	88559770	2_MyoD_MB_peak_431_lociStitched	Msi2		Msi2	30
chr19	47882628	47892260	4_Pbx1mb_peak_9518_lociStitched, 2_MyoD_MB_peak_1337_lociStitched	Gsto2	Itprip,Wdr96,Gsto1,Ccdc147	Gsto2	30, 19
chr5	93126914	93133980	2_TAP_Pax7_MB_peak_28535_lociStitched	Sept11		Sept11	30
chr2	27772089	27786392	5_Pbx1mb_peak_9815_lociStitched			Rxra	31
chr2	155877786	155886899	3_TAP_Pax7_MB_peak_22171_lociStitched	Uqcc	Fam83c,Uqcc	Fam83c	31
chr6	89345075	89348110	4_MyoD_MB_peak_2068_lociStitched	Plxna1		Plxna1	31
chr13	51962729	51976197	5_Pbx1mb_peak_4070_lociStitched, 3_MyoD_MB_peak_682_lociStitched			Gadd45g	33, 1
chr17	31789089	31791140	2_MyoD_MB_peak_1139_lociStitched			Sik1	33
chr16	92608289	92631893	5_Pbx1mb_peak_7424_lociStitched	Runx1		Runx1	34
chr2	32167996	32174532	2_MyoD_MB_peak_1400_lociStitched	Prrc2b		Prrc2b	35
chr1	132335436	132356145	5_Pbx1mb_peak_836_lociStitched		Nuak2,Klhdc8a,Tmcc2	Nuak2	36
chr6	146908940	146918709	2_TAP_Pax7_MB_peak_31327_lociStitched	Ppfibp1	1700034J05Rik	Ppfibp1	36
chr12	84784587	84794932	3_Pbx1mb_peak_3232_lociStitched	Ltbp2	Npc2,Isca2	Isca2	38
chr18	57259075	57271174	4_TAP_Pax7_MB_peak_18136_lociStitched	Megf10		Prrc1	38
chr7	46341525	46353415	3_MyoD_MB_peak_2155_lociStitched		Kcnc1,Myod1	Myod1	38
chr4	59314965	59315843	6_Pbx1mb_peak_12676_lociStitched, 1_MyoD_MB_peak_1738_lociStitched	Susd1		Susd1	39, 87
chr6	145998767	145999013	2_MyoD_MB_peak_2122_lociStitched, 1_TAP_Pax7_MB_peak_31309_lociStitched			Sspn	39, 339
chr18	5809376	5820475	2_MyoD_MB_peak_1208_lociStitched			Gm10125	40
chr2	36222422	36279328	8_Pbx1mb_peak_9964_lociStitched	Ptgs1		Ptgs1	40
chr2	36222422	36279328	8_Pbx1mb_peak_9964_lociStitched	Ptgs1		Ptgs1	40
chr13	60409587	60468489	14_Pbx1mb_peak_4169_lociStitched			Dapk1	41
chr13	60409587	60468489	14_Pbx1mb_peak_4169_lociStitched			Dapk1	41
chr5	113872998	113874299	2_MyoD_MB_peak_1933_lociStitched	Coro1c	Selplg	Coro1c	41
chr9	63657181	63665588	2_MyoD_MB_peak_2496_lociStitched	Smad3		Aagab	42
chr15	83469574	83481548	4_Pbx1mb_peak_6501_lociStitched		Pacsin2,Bik,Ttll1	Pacsin2	43
chr5	120561135	120563912	2_MyoD_MB_peak_1942_lociStitched	Tpcn1	1110008J03Rik,Iqcd,Ddx54,Slc24a6	Tpcn1	43
chr17	46266324	46278232	3_Pbx1mb_peak_7995_lociStitched	Tjap1	Tjap1,Lrrc73,Abcc10,Mir693,Dlk2,Polr1c,Yipf3	Tjap1	44
chr3	135670974	135675285	3_TAP_Pax7_MB_peak_24438_lociStitched	Nfkb1		Nfkb1	44
chr2	29691716	29717098	4_Pbx1mb_peak_9844_lociStitched	Rapgef1	Gm13547	Gm13547	45
chr11	88599490	88605537	2_MyoD_MB_peak_433_lociStitched	Msi2		Msi2	46
chr16	30500321	30518192	4_Pbx1mb_peak_7067_lociStitched, 2_MyoD_MB_peak_1042_lociStitched	Mir1195,Tmem44		Tmem44	46, 47
chr15	99327069	99352632	5_Pbx1mb_peak_6696_lociStitched	Fmnl3	Prpf40b,Tmbim6,Fam186b	Fmnl3	47
chr8	84981087	84981355	4_Pbx1mb_peak_17276_lociStitched, 1_MyoD_MB_peak_2312_lociStitched		2310036O22Rik,Hook2,Best2,Rtbdn,Mast1,Rnaseh2a,Junb,Asna1,Prdx2	Junb	48, 103
chr2	163345051	163347723	2_MyoD_MB_peak_1527_lociStitched	Jph2		Jph2	49
chr5	142819895	142823965	4_Pbx1mb_peak_14464_lociStitched		Tnrc18	Tnrc18	49
chr1	81731933	81760146	9_TAP_Pax7_MB_peak_1321_lociStitched			Irs1	50
chr11	78363486	78364418	2_MyoD_MB_peak_412_lociStitched	Foxn1	Gm11194,Foxn1,Unc119,Aldoc,Pigs	Unc119	50
chr15	36865335	36884965	5_Pbx1mb_peak_5779_lociStitched, 2_MyoD_MB_peak_906_lociStitched			Ywhaz	51, 9
chr12	73346533	73394029	3_TAP_Pax7_MB_peak_7836_lociStitched, 8_Pbx1mb_peak_3109_lociStitched	Slc38a6,D830013O20Rik		D830013O20Rik	52, 108
chr14	76775535	76792594	2_MyoD_MB_peak_839_lociStitched, 6_TAP_Pax7_MB_peak_11823_lociStitched			1700108F19Rik	52, 9
chr15	80024326	80037852	3_Pbx1mb_peak_6428_lociStitched		Pdgfb,Snord43,Rpl3,Snord83b	Pdgfb	52
chr12	102286755	102295578	2_MyoD_MB_peak_605_lociStitched	Rin3		Rin3	54
chr18	60604534	60618766	4_Pbx1mb_peak_8774_lociStitched	Synpo	Myoz3,Rbm22,G630071F17Rik	Synpo	55
chr16	43500142	43504888	2_TAP_Pax7_MB_peak_14898_lociStitched	Zbtb20		Gm15713	56
chr17	46835479	46858606	7_Pbx1mb_peak_8010_lociStitched, 1_Snai1_GM.nodup_peak_773_lociStitched		Tbcc,Gltscr1l	Gltscr1l	56, 17
chr19	53731774	53738976	2_MyoD_MB_peak_1344_lociStitched	Rbm20		Rbm20	56
chr10	59813008	59821434	2_TAP_Pax7_MB_peak_4148_lociStitched, 2_MyoD_MB_peak_239_lociStitched	Micu1		Dnajb12	58, 84
chr12	80208214	80232340	4_Pbx1mb_peak_3185_lociStitched	Actn1		Actn1	58
chr4	84202326	84203903	2_MyoD_MB_peak_1759_lociStitched			Bnc2	59
chr6	47650467	47686310	10_Pbx1mb_peak_14850_lociStitched	Rn4.5s		Rn4.5s	59
chr16	31584463	31609410	6_Pbx1mb_peak_7079_lociStitched			Dlg1	60
chr6	116406271	116408261	2_MyoD_MB_peak_2094_lociStitched	March8		Alox5	60
chr10	80159876	80161822	4_Pbx1mb_peak_2189_lociStitched, 1_MyoD_MB_peak_269_lociStitched	Bc1	Cirbp,Midn,Dos,Efna2,Atp5d,Stk11,1600002K03Rik	Cirbp	61, 106
chr11	95161859	95166153	2_MyoD_MB_peak_441_lociStitched		Dlx3,A730090H04Rik,Dlx4	Dlx4	61
chr17	79540153	79548060	2_TAP_Pax7_MB_peak_17025_lociStitched		Gm10494	Gm10494	61
chr12	86787271	86816429	6_Pbx1mb_peak_3282_lociStitched, 4_MyoD_MB_peak_588_lociStitched			Gm6772	63, 5
chr16	24490879	24503907	2_MyoD_MB_peak_1030_lociStitched, 3_TAP_Pax7_MB_peak_14555_lociStitched	Lpp	A730098P11Rik	A730098P11Rik	63, 276
chr15	86194779	86204145	2_MyoD_MB_peak_980_lociStitched		Cerk,Tbc1d22a	Cerk	64
chr2	92938036	92958639	7_Pbx1mb_peak_10301_lociStitched	Syt13		Syt13	64
chr16	38368424	38370972	2_MyoD_MB_peak_1048_lociStitched	Popdc2	Maats1,Cox17	Popdc2	65
chr4	139598723	139611930	3_Pbx1mb_peak_13354_lociStitched	Iffo2	Aldh4a1,Tas1r2	Aldh4a1	65
chr3	116114113	116133889	4_TAP_Pax7_MB_peak_24033_lociStitched	Vcam1		Vcam1	66
chr12	73779642	73790986	2_MyoD_MB_peak_567_lociStitched			Hif1a	67
chr3	41173113	41187683	3_TAP_Pax7_MB_peak_22941_lociStitched			Pgrmc2	67
chr9	57610504	57626515	4_Pbx1mb_peak_18257_lociStitched	Lman1l	Csk,Cplx3,Scamp2,Ulk3	Lman1l	67
chr1	177011801	177014680	2_MyoD_MB_peak_175_lociStitched	Sdccag8		Hmga2-ps1	69
chr2	102954662	102958868	3_TAP_Pax7_MB_peak_21282_lociStitched			Cd44	69
chr4	45455057	45475209	3_Pbx1mb_peak_12521_lociStitched	Shb	Slc25a51	Slc25a51	69
chr5	36367420	36378273	5_Pbx1mb_peak_13765_lociStitched, 2_MyoD_MB_peak_1893_lociStitched	Sorcs2		Sorcs2	71, 14
chr9	72217344	72220196	2_MyoD_MB_peak_2510_lociStitched			Zfp280d	71
chr2	60688948	60694901	2_MyoD_MB_peak_1428_lociStitched	Itgb6	Itgb6	Itgb6	72
chr3	68597093	68610180	3_TAP_Pax7_MB_peak_23385_lociStitched	Schip1,Gm21949		Schip1	72
chr13	55169209	55171819	2_MyoD_MB_peak_687_lociStitched		Fgfr4,Nsd1	Fgfr4	73
chr15	83156894	83167112	2_Pbx1mb_peak_6488_lociStitched	Cyb5r3	Rnu12,Poldip3,Rrp7a	Cyb5r3	73
chr2	35889848	35906605	3_TAP_Pax7_MB_peak_20104_lociStitched	Ttll11		9030204H09Rik	73
chr11	61062722	61063454	2_MyoD_MB_peak_375_lociStitched	Kcnj12	Kcnj12	Kcnj12	74
chr12	86826780	86834798	3_Pbx1mb_peak_3289_lociStitched			Irf2bpl	74
chr17	84110128	84116514	2_Pbx1mb_peak_8360_lociStitched		4933433H22Rik	4933433H22Rik	75
chr5	36069638	36070276	4_Pbx1mb_peak_13760_lociStitched, 2_MyoD_MB_peak_1890_lociStitched	Sorcs2		Psapl1	76, 70
chr5	64872690	64878764	2_TAP_Pax7_MB_peak_28075_lociStitched			Tlr1	76
chr11	79863602	79869368	2_MyoD_MB_peak_417_lociStitched			Utp6	77
chr16	43572844	43576644	2_TAP_Pax7_MB_peak_14902_lociStitched	Zbtb20		Mir568	79
chr1	135759845	135771892	2_Pbx1mb_peak_912_lociStitched	Phlda3	Csrp1,Lad1,Tnni1	Phlda3	80
chr3	146307345	146311539	2_MyoD_MB_peak_1697_lociStitched			Gm10636	80
chr3	21942609	21964098	4_TAP_Pax7_MB_peak_22657_lociStitched			Tbl1xr1	81
chr11	5009854	5016542	2_MyoD_MB_peak_327_lociStitched	Ap1b1	Rasl10a,Gas2l1	Ap1b1	82
chr15	27506436	27537110	4_Pbx1mb_peak_5685_lociStitched	Ank		Ank	82
chr17	83983001	83993367	4_Pbx1mb_peak_8349_lociStitched			4933433H22Rik	83
chr4	135286897	135301609	3_Pbx1mb_peak_13268_lociStitched		Clic4	Clic4	84
chr12	54191927	54198581	3_TAP_Pax7_MB_peak_7570_lociStitched	Egln3		Egln3	85
chr7	99360149	99362399	2_MyoD_MB_peak_2194_lociStitched		Gdpd5,Serpinh1	Serpinh1	85
chr6	47739709	47748571	10_Pbx1mb_peak_14858_lociStitched, 2_Snai1_GM.nodup_peak_1393_lociStitched	Rn4.5s		Mir704	86, 3
chr7	74448907	74459483	2_TAP_Pax7_MB_peak_32121_lociStitched	Slco3a1		Slco3a1	88
chr8	70447793	70462221	3_Pbx1mb_peak_17019_lociStitched	Klhl26	Crlf1,2810428I15Rik,Crtc1,Klhl26,Tmem59l,Uba52	Crtc1	88
chr1	177623413	177634481	2_MyoD_MB_peak_177_lociStitched		2310043L19Rik	2310043L19Rik	89
chr11	103386208	103387543	2_TAP_Pax7_MB_peak_6604_lociStitched	Plekhm1	Gm11648,Arhgap27	Arhgap27	90
chr9	37054246	37055024	2_MyoD_MB_peak_2460_lociStitched	Pknox2		Pknox2	90
chr3	144665051	144669823	2_MyoD_MB_peak_1692_lociStitched			Sh3glb1	91
chr8	83737778	83744330	2_Pbx1mb_peak_17191_lociStitched	Cd97	Ddx39,Pkn1,Cd97	Cd97	92
chr10	127607021	127616510	2_Pbx1mb_peak_2675_lociStitched	Lrp1	Stat6	Lrp1	93
chr11	71976874	71977370	2_MyoD_MB_peak_399_lociStitched		4930401O10Rik	4930401O10Rik	93
chr8	119422161	119429024	2_Pbx1mb_peak_17692_lociStitched		Osgin1,Necab2,Mlycd	Osgin1	94
chr1	90162529	90164684	2_MyoD_MB_peak_84_lociStitched		Iqca,Cxcr7	Iqca	95
chr1	92699044	92708796	3_Pbx1mb_peak_668_lociStitched, 3_MyoD_MB_peak_96_lociStitched			Otos	95, 20
chr5	136514229	136529247	3_TAP_Pax7_MB_peak_29063_lociStitched	Cux1		Cux1	95
chr8	124278626	124295668	4_Pbx1mb_peak_17779_lociStitched	Galnt2		Galnt2	96
chr12	9112420	9113992	2_MyoD_MB_peak_525_lociStitched			Ttc32	97
chr3	98017017	98024506	2_TAP_Pax7_MB_peak_23784_lociStitched	Notch2		Notch2	97
chr12	111851768	111864717	2_MyoD_MB_peak_618_lociStitched	Ppp1r13b	Zfyve21,Xrcc3	Zfyve21	98
chr15	86054797	86067922	2_Pbx1mb_peak_6551_lociStitched	Gramd4	Celsr1	Gramd4	98
chr18	46855154	46863538	2_TAP_Pax7_MB_peak_17880_lociStitched	4833403I15Rik		4833403I15Rik	99
chr8	11363361	11387442	6_Pbx1mb_peak_16573_lociStitched, 3_MyoD_MB_peak_2251_lociStitched	Col4a2		Col4a2	99, 15
chr19	38004432	38038452	7_Pbx1mb_peak_9415_lociStitched, 2_TAP_Pax7_MB_peak_19251_lociStitched	Myof	Cep55	Myof	100, 519
chr1	72966431	72969679	2_MyoD_MB_peak_56_lociStitched		1700027A15Rik,Tnp1	Tnp1	101
chr9	63702428	63725519	6_Pbx1mb_peak_18360_lociStitched	Smad3		Smad3	101
chr19	47396178	47404455	2_TAP_Pax7_MB_peak_19364_lociStitched	Sh3pxd2a		Sh3pxd2a	103
chr12	55466492	55467104	2_MyoD_MB_peak_550_lociStitched	Mir1198	Nfkbia	Nfkbia	104
chr15	86085936	86096084	3_Pbx1mb_peak_6555_lociStitched	Gramd4		Gramd4	105
chr2	92004759	92007267	2_MyoD_MB_peak_1451_lociStitched	Creb3l1	Dgkz	Creb3l1	105
chr19	5848259	5851659	2_Pbx1mb_peak_9137_lociStitched	Frmd8	Slc25a45,Neat1,Malat1,Tigd3	Neat1	107
chr3	58312745	58321050	2_MyoD_MB_peak_1595_lociStitched			Tsc22d2	107
chr4	117317844	117318809	2_MyoD_MB_peak_1777_lociStitched	Rnf220		Tmem53	108
chr15	31337261	31352030	5_Pbx1mb_peak_5726_lociStitched	Ankrd33b		Ankrd33b	109
chr17	27131328	27146778	3_Pbx1mb_peak_7787_lociStitched	Mnf1,Ip6k3		Mnf1	110
chr18	47166372	47170218	2_MyoD_MB_peak_1234_lociStitched			Sema6a	110
chr11	117317920	117318109	1_MyoD_MB_peak_503_lociStitched	Sept9	Sept9	Sept9	113
chr2	27835771	27845165	3_Pbx1mb_peak_9823_lociStitched		Col5a1	Col5a1	113
chr2	13410245	13413659	2_MyoD_MB_peak_1373_lociStitched	Cubn		Cubn	114
chr4	88928599	88931650	2_TAP_Pax7_MB_peak_26324_lociStitched		Ifne,Mir31	Mir31	114
chr5	142414133	142423590	2_TAP_Pax7_MB_peak_29111_lociStitched	Foxk1	Ap5z1	Foxk1	115
chr6	91620505	91620707	1_MyoD_MB_peak_2071_lociStitched			Slc6a6	115
chr14	25519774	25527655	2_Pbx1mb_peak_4849_lociStitched	Zmiz1	Mir3075	Mir3075	117
chr19	53404351	53410640	5_Pbx1mb_peak_9538_lociStitched, 1_TAP_Pax7_MB_peak_19460_lociStitched		Smndc1	Smndc1	119, 335
chr1	92799760	92816258	6_Pbx1mb_peak_678_lociStitched		Gpc1,Mir149	Gpc1	120
chr2	92009136	92021218	3_Pbx1mb_peak_10287_lociStitched	Creb3l1	Dgkz	Creb3l1	121
chr6	5432003	5444778	3_TAP_Pax7_MB_peak_29297_lociStitched	Asb4		Asb4	121
chr9	61368542	61378021	5_Pbx1mb_peak_18321_lociStitched, 2_TAP_Pax7_MB_peak_35749_lociStitched	Tle3		Tle3	122, 150
chr3	148612642	148650543	5_TAP_Pax7_MB_peak_24746_lociStitched			Lphn2	123
chr6	91192937	91207878	4_Pbx1mb_peak_15204_lociStitched		Hdac11,Fbln2	Fbln2	123
chr17	44491515	44508509	3_Pbx1mb_peak_7949_lociStitched, 2_MyoD_MB_peak_1156_lociStitched	Runx2		Runx2	124, 58
chr15	79935469	79952817	5_Pbx1mb_peak_6423_lociStitched		D730005E14Rik,Cbx7,Apobec3	Cbx7	125
chr16	24232864	24253040	3_TAP_Pax7_MB_peak_14553_lociStitched			Lpp	126
chr4	141559262	141573267	4_Pbx1mb_peak_13393_lociStitched		B330016D10Rik,Fblim1,Spen,AI507597,Tmem82	B330016D10Rik	128
chr1	184663583	184668353	2_TAP_Pax7_MB_peak_2878_lociStitched		4930488B22Rik	4930488B22Rik	129
chr5	66524090	66543943	7_Pbx1mb_peak_13894_lociStitched, 2_TAP_Pax7_MB_peak_28097_lociStitched	Apbb2		Apbb2	129, 105
chr3	107814419	107828870	4_Pbx1mb_peak_11914_lociStitched		Eps8l3	Eps8l3	130
chr3	107814419	107828870	4_Pbx1mb_peak_11914_lociStitched		Eps8l3	Eps8l3	130
chr12	86888338	86894709	5_Pbx1mb_peak_3292_lociStitched		Irf2bpl	Irf2bpl	131
chr17	10040586	10047264	2_TAP_Pax7_MB_peak_16127_lociStitched			4930452A19Rik	131
chr1	134091815	134099639	2_Pbx1mb_peak_875_lociStitched		Chit1,Btg2	Chit1	136
chr4	46085456	46088208	2_TAP_Pax7_MB_peak_25661_lociStitched	Tmod1		Tmod1	137
chr4	134624160	134639673	5_Pbx1mb_peak_13247_lociStitched	Man1c1		Man1c1	137
chr6	82996722	83024709	7_Pbx1mb_peak_15082_lociStitched	M1ap	Tlx2,Dqx1,Dok1,Htra2,Aup1,Loxl3	Dok1	139
chr5	36713031	36724704	4_Pbx1mb_peak_13777_lociStitched		D5Ertd579e,Bloc1s4	D5Ertd579e	143
chr1	53834268	53846805	3_TAP_Pax7_MB_peak_777_lociStitched	Hecw2	Stk17b	Stk17b	144
chr18	16734758	16741126	2_TAP_Pax7_MB_peak_17466_lociStitched	Cdh2		Cdh2	147
chr13	97533500	97543342	2_TAP_Pax7_MB_peak_10069_lociStitched		Gm5086	Gm5086	148
chr18	35185023	35198965	5_TAP_Pax7_MB_peak_17693_lociStitched	Ctnna1	Lrrtm2	Lrrtm2	149
chr14	33243260	33250600	3_Pbx1mb_peak_4913_lociStitched	Arhgap22		Arhgap22	151
chr15	83215591	83224520	3_Pbx1mb_peak_6490_lociStitched		Cyb5r3,A4galt	A4galt	152
chr2	104855775	104864607	2_TAP_Pax7_MB_peak_21321_lociStitched		Qser1,Prrg4,Ccdc73	Prrg4	153
chr12	71885172	71898547	4_Pbx1mb_peak_3083_lociStitched, 1_TAP_Pax3_MB_peak_259_lociStitched	Daam1		Daam1	156, 11
chr15	58256939	58261247	3_TAP_Pax7_MB_peak_13719_lociStitched		Fbxo32	Fbxo32	161
chr5	21486807	21503445	3_Pbx1mb_peak_13636_lociStitched	Fbxl13	Lrrc17	Lrrc17	161
chr15	55186591	55196655	2_TAP_Pax7_MB_peak_13642_lociStitched	Deptor		Deptor	164
chr8	14991766	14996384	3_Pbx1mb_peak_16624_lociStitched, 2_MyoD_MB_peak_2260_lociStitched	Arhgef10	Kbtbd11,BB014433	Kbtbd11	164, 32
chr13	35501340	35512625	4_TAP_Pax7_MB_peak_9154_lociStitched			Cdyl	167
chr15	59151671	59159189	3_Pbx1mb_peak_6059_lociStitched			Mtss1	167
chr2	35269162	35278054	4_Pbx1mb_peak_9943_lociStitched	Gsn	Gsn	Gsn	168
chr9	35324668	35341118	5_Pbx1mb_peak_18045_lociStitched, 2_MyoD_MB_peak_2457_lociStitched		4933422A05Rik	4933422A05Rik	169, 44
chr2	25534181	25551403	3_Pbx1mb_peak_9792_lociStitched	Traf2	Lcn12,Gm996,Mamdc4,C8g,Fbxw5,Phpt1,Edf1	Traf2	171
chr1	163206044	163228816	5_TAP_Pax7_MB_peak_2467_lociStitched			Prrx1	173
chr15	85598993	85603620	4_Pbx1mb_peak_6537_lociStitched		Wnt7b,AU022754	Wnt7b	176
chr1	75338105	75347759	3_Pbx1mb_peak_448_lociStitched		Speg,Dnpep,Des,Gm15179	Des	177
chr15	62314790	62327570	3_TAP_Pax7_MB_peak_13788_lociStitched			H2afy3	177
chr18	76057091	76062180	2_Pbx1mb_peak_8995_lociStitched	Zbtb7c	2900057B20Rik	2900057B20Rik	179
chr17	29428417	29445351	5_Pbx1mb_peak_7814_lociStitched		Pim1	Pim1	182
chr18	57162845	57167585	2_TAP_Pax7_MB_peak_18131_lociStitched	Megf10		Megf10	182
