CHROM	START	END	REGION_ID	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank
chr12	104966423	105005810	10_MyoD_2d_MT_peak_3801_lociStitched, 12_Myog_60hr_MT_peak_9796_lociStitched	Syne3	Glrx5,Snhg10,Mir3069,Scarna13	Syne3	15, 47
chr12	104966423	105005810	10_MyoD_2d_MT_peak_3801_lociStitched, 12_Myog_60hr_MT_peak_9796_lociStitched	Syne3	Glrx5,Snhg10,Mir3069,Scarna13	Syne3	15, 47
chr3	41172724	41195330	6_Myog_60hr_MT_peak_25312_lociStitched, 5_MyoD_2d_MT_peak_9659_lociStitched			Pgrmc2	15, 9
chr3	144664896	144680114	4_MyoD_2d_MT_peak_10307_lociStitched, 4_Myog_60hr_MT_peak_26789_lociStitched		Sh3glb1	Sh3glb1	16, 45
chr15	55119422	55139661	3_Pbx1mt_peak_5781_lociStitched	Deptor	Taf2,Gm9920,Dscc1	Deptor	17
chr17	26567883	26585191	10_Myog_60hr_MT_peak_17627_lociStitched, 3_MyoD_2d_MT_peak_6857_lociStitched	Ergic1		Ergic1	17, 276
chr15	38447295	38453116	11_Myog_60hr_MT_peak_13761_lociStitched, 2_MyoD_2d_MT_peak_5490_lociStitched			Azin1	18, 610
chr10	118979295	119001728	7_Myog_60hr_MT_peak_4786_lociStitched, 2_MyoD_2d_MT_peak_2039_lociStitched			1700064J06Rik	20, 26
chr11	86568637	86580620	3_MyoD_2d_MT_peak_2727_lociStitched, 3_Myog_60hr_MT_peak_6797_lociStitched		Tubd1,Mir21,Rps6kb1	Mir21	21, 44
chr3	54443969	54487749	8_Pbx1mt_peak_10192_lociStitched, 3_Myog_60hr_MT_peak_25448_lociStitched			Postn	22, 281
chr2	60682811	60717726	10_Myog_60hr_MT_peak_22897_lociStitched, 6_MyoD_2d_MT_peak_8718_lociStitched	Itgb6	Itgb6	Itgb6	23, 13
chr3	121464917	121481972	3_Pbx1mt_peak_10745_lociStitched, 5_MyoD_2d_MT_peak_10137_lociStitched	Slc44a3	Cnn3	Cnn3	23, 33
chr12	86859889	86897466	12_Myog_60hr_MT_peak_9531_lociStitched, 4_Pbx1mt_peak_3044_lociStitched	Irf2bpl	2310044G17Rik	Irf2bpl	25, 179
chr11	117216808	117276404	16_Myog_60hr_MT_peak_8055_lociStitched	Sept9		Sept9	26
chr5	111877239	111893252	6_MyoD_2d_MT_peak_11837_lociStitched, 7_Myog_60hr_MT_peak_31083_lociStitched			E130006D01Rik	27, 55
chr4	57537823	57560364	3_MyoD_2d_MT_peak_10604_lociStitched, 5_Pbx1mt_peak_11323_lociStitched		Palm2	Palm2	28, 20
chr1	192778291	192807163	9_MyoD_2d_MT_peak_1213_lociStitched, 9_Myog_60hr_MT_peak_2809_lociStitched		1700065J18Rik,Sertad4,Hhat	Hhat	29, 84
chr10	31573334	31604178	7_Pbx1mt_peak_1803_lociStitched, 6_Myog_60hr_MT_peak_3202_lociStitched	Rnf217		Rnf217	29, 117
chr11	88585491	88608877	10_Myog_60hr_MT_peak_6906_lociStitched, 7_MyoD_2d_MT_peak_2766_lociStitched	Msi2		Msi2	29, 45
chr11	88585491	88608877	10_Myog_60hr_MT_peak_6906_lociStitched, 7_MyoD_2d_MT_peak_2766_lociStitched	Msi2		Msi2	29, 45
chr15	99796516	99847027	12_Myog_60hr_MT_peak_15426_lociStitched, 2_MyoD_2d_MT_peak_6006_lociStitched	Lima1	Cers5	Lima1	30, 229
chr15	99796516	99847027	12_Myog_60hr_MT_peak_15426_lociStitched, 2_MyoD_2d_MT_peak_6006_lociStitched	Lima1	Cers5	Lima1	30, 229
chr13	51960346	51980749	12_Myog_60hr_MT_peak_10949_lociStitched, 6_MyoD_2d_MT_peak_4262_lociStitched			Gadd45g	33, 20
chr6	127953194	128085978	46_Myog_60hr_MT_peak_34041_lociStitched, 5_MyoD_2d_MT_peak_12885_lociStitched	Tspan9		Tspan9	34, 547
chr6	127953194	128085978	46_Myog_60hr_MT_peak_34041_lociStitched, 5_MyoD_2d_MT_peak_12885_lociStitched	Tspan9		Tspan9	34, 547
chr6	127953194	128085978	46_Myog_60hr_MT_peak_34041_lociStitched, 5_MyoD_2d_MT_peak_12885_lociStitched	Tspan9		Tspan9	34, 547
chr3	88488393	88510356	5_MyoD_2d_MT_peak_9892_lociStitched, 6_Myog_60hr_MT_peak_25832_lociStitched	Lmna	Sema4a,Ubqln4,Rab25,Mex3a,Mir1905,Lamtor2	Lmna	36, 36
chr18	37825463	37850028	8_MyoD_2d_MT_peak_7529_lociStitched, 8_Myog_60hr_MT_peak_19583_lociStitched	Diap1,Pcdhga9,Pcdhgb1,Pcdhgc3,Pcdhga12,Pcdhgb5,Pcdhga6,Pcdhga3,Pcdhgb7,Pcdhgb4,Pcdhga2,Pcdhga10,Pcdhga1,Pcdhga11,Pcdhgb2,Pcdhgb8,Pcdhga8,Pcdhgb6,Pcdhga7,Pcdhga4,Pcdhgc5,Pcdha4-g,Pcdhga5,Pcdhgc4		Pcdhgc5	37, 151
chr15	77150501	77163843	4_Pbx1mt_peak_6231_lociStitched, 2_Myog_60hr_MT_peak_14466_lociStitched	Rbfox2	Rbfox2	Rbfox2	38, 526
chr15	81031748	81069270	9_Myog_60hr_MT_peak_14764_lociStitched, 3_MyoD_2d_MT_peak_5842_lociStitched	Mkl1		Mkl1	38, 138
chr15	81031748	81069270	9_Myog_60hr_MT_peak_14764_lociStitched, 3_MyoD_2d_MT_peak_5842_lociStitched	Mkl1		Mkl1	38, 138
chr10	95457795	95472398	5_MyoD_2d_MT_peak_1931_lociStitched, 4_Myog_60hr_MT_peak_4595_lociStitched		Socs2,Ube2n,Mrpl42,5730420D15Rik	Mrpl42	39, 334
chr9	70198119	70255320	11_Myog_60hr_MT_peak_40933_lociStitched, 5_MyoD_2d_MT_peak_15282_lociStitched	Myo1e		Myo1e	39, 106
chr4	150772335	150809706	8_Myog_60hr_MT_peak_29582_lociStitched, 4_MyoD_2d_MT_peak_11242_lociStitched		1700045H11Rik,Errfi1	1700045H11Rik	41, 40
chr15	25761735	25775405	7_Myog_60hr_MT_peak_13461_lociStitched, 4_MyoD_2d_MT_peak_5399_lociStitched	Myo10		Fam134b	42, 31
chr18	47154806	47170332	3_Pbx1mt_peak_7945_lociStitched, 3_MyoD_2d_MT_peak_7585_lociStitched			Commd10	42, 66
chr10	39307359	39322396	7_Pbx1mt_peak_1859_lociStitched, 4_Myog_60hr_MT_peak_3251_lociStitched		Fyn	Fyn	43, 501
chr18	5806454	5836140	5_MyoD_2d_MT_peak_7376_lociStitched, 8_Myog_60hr_MT_peak_19179_lociStitched			Gm10125	43, 46
chr7	65388230	65463832	9_Myog_60hr_MT_peak_35434_lociStitched, 4_MyoD_2d_MT_peak_13268_lociStitched		Tjp1	Tjp1	43, 96
chr7	65388230	65463832	9_Myog_60hr_MT_peak_35434_lociStitched, 4_MyoD_2d_MT_peak_13268_lociStitched		Tjp1	Tjp1	43, 96
chr8	45596102	45611181	6_Pbx1mt_peak_15642_lociStitched	Sorbs2		Sorbs2	46
chr2	163344958	163365003	13_Myog_60hr_MT_peak_24441_lociStitched, 4_MyoD_2d_MT_peak_9361_lociStitched	Jph2		Jph2	48, 54
chr8	45815370	45845136	7_Pbx1mt_peak_15647_lociStitched	Sorbs2,D330022K07Rik	Pdlim3	D330022K07Rik	48
chr13	97757211	97784305	4_MyoD_2d_MT_peak_4523_lociStitched, 5_Myog_60hr_MT_peak_11559_lociStitched			Gm5086	49, 83
chr1	134060825	134099585	16_Myog_60hr_MT_peak_1669_lociStitched, 2_Pbx1mt_peak_867_lociStitched	Btg2	Chit1,Fmod	Btg2	51, 94
chr12	111846039	111853419	3_Pbx1mt_peak_3228_lociStitched, 5_Myog_60hr_MT_peak_10015_lociStitched	Ppp1r13b	Zfyve21,Xrcc3	Zfyve21	52, 406
chr15	99332917	99352652	8_Myog_60hr_MT_peak_15381_lociStitched, 3_MyoD_2d_MT_peak_5991_lociStitched	Fmnl3	Prpf40b,Tmbim6,Fam186b	Fmnl3	52, 62
chr2	163661370	163722825	5_MyoD_2d_MT_peak_9366_lociStitched, 9_Myog_60hr_MT_peak_24473_lociStitched	Pkig	0610039K10Rik,Pkig,Serinc3,Ada	Pkig	52, 119
chr17	31728990	31791198	27_Myog_60hr_MT_peak_17950_lociStitched, 3_MyoD_2d_MT_peak_6935_lociStitched			Cryaa	53, 260
chr17	31728990	31791198	27_Myog_60hr_MT_peak_17950_lociStitched, 3_MyoD_2d_MT_peak_6935_lociStitched			Cryaa	53, 260
chr17	31728990	31791198	27_Myog_60hr_MT_peak_17950_lociStitched, 3_MyoD_2d_MT_peak_6935_lociStitched			Cryaa	53, 260
chr5	36356646	36380414	13_Myog_60hr_MT_peak_30313_lociStitched, 4_MyoD_2d_MT_peak_11515_lociStitched	Sorcs2		Sorcs2	54, 155
chr14	25470527	25519993	28_Myog_60hr_MT_peak_12138_lociStitched, 5_MyoD_2d_MT_peak_4823_lociStitched	Zmiz1	Mir3075	Zmiz1	57, 116
chr14	25470527	25519993	28_Myog_60hr_MT_peak_12138_lociStitched, 5_MyoD_2d_MT_peak_4823_lociStitched	Zmiz1	Mir3075	Zmiz1	57, 116
chr8	121990936	122055861	23_Myog_60hr_MT_peak_39315_lociStitched	Banp	Banp,Car5a	Banp	58
chr1	43237155	43260214	6_MyoD_2d_MT_peak_155_lociStitched, 4_Myog_60hr_MT_peak_377_lociStitched			Fhl2	59, 138
chr2	167232189	167336911	23_Myog_60hr_MT_peak_24667_lociStitched	Ptgis,B4galt5	Kcnb1	Ptgis	59
chr15	3707059	3725472	8_Pbx1mt_peak_5093_lociStitched, 4_Myog_60hr_MT_peak_13292_lociStitched			Ghr	60, 258
chr14	25734732	25766136	12_Myog_60hr_MT_peak_12184_lociStitched, 8_MyoD_2d_MT_peak_4829_lociStitched	Zcchc24	Ppif,Ppifos	Zcchc24	61, 46
chr15	66877813	66906657	3_MyoD_2d_MT_peak_5684_lociStitched, 7_Myog_60hr_MT_peak_14136_lociStitched	Wisp1	Sla	Wisp1	63, 5
chr5	31627637	31637241	4_Myog_60hr_MT_peak_30090_lociStitched, 2_Pbx1mt_peak_13073_lociStitched	Rbks	Mrpl33	Mrpl33	63, 40
chr13	37605437	37692456	15_Myog_60hr_MT_peak_10591_lociStitched, 6_MyoD_2d_MT_peak_4141_lociStitched			Rreb1	64, 72
chr13	37605437	37692456	15_Myog_60hr_MT_peak_10591_lociStitched, 6_MyoD_2d_MT_peak_4141_lociStitched			Rreb1	64, 72
chr7	28949394	28972208	4_MyoD_2d_MT_peak_13122_lociStitched	Eif3k,Actn4	Map4k1	Actn4	64
chr1	91022595	91032833	12_Myog_60hr_MT_peak_1163_lociStitched, 2_MyoD_2d_MT_peak_513_lociStitched	Lrrfip1	Lrrfip1	Lrrfip1	65, 510
chr4	123422619	123426159	3_Pbx1mt_peak_11847_lociStitched	Macf1	D830031N03Rik	D830031N03Rik	66
chr5	64360468	64371768	9_Myog_60hr_MT_peak_30541_lociStitched, 4_MyoD_2d_MT_peak_11601_lociStitched			1700027F09Rik	66, 231
chr12	52816482	52878079	4_Pbx1mt_peak_2799_lociStitched, 8_Myog_60hr_MT_peak_8900_lociStitched	Akap6		Akap6	68, 22
chr18	61360666	61384960	9_Myog_60hr_MT_peak_19879_lociStitched, 2_Pbx1mt_peak_8053_lociStitched	Ppargc1b		Ppargc1b	69, 333
chr4	58460398	58477916	6_Pbx1mt_peak_11354_lociStitched	Lpar1	Mir3095	Mir3095	69
chr19	53731696	53760314	4_MyoD_2d_MT_peak_8225_lociStitched, 12_Myog_60hr_MT_peak_21552_lociStitched	Rbm20		Rbm20	71, 77
chr6	145992394	146010590	9_Myog_60hr_MT_peak_34245_lociStitched, 6_MyoD_2d_MT_peak_12987_lociStitched			Sspn	71, 30
chr11	8429432	8446313	6_Myog_60hr_MT_peak_5230_lociStitched	Tns3		Tns3	72
chr17	9744066	9761076	6_Pbx1mt_peak_7119_lociStitched, 5_MyoD_2d_MT_peak_6721_lociStitched	4930452A19Rik		4930452A19Rik	72, 165
chr11	4271023	4302574	11_Myog_60hr_MT_peak_5081_lociStitched, 7_MyoD_2d_MT_peak_2142_lociStitched	Lif	Osm	Lif	73, 34
chr2	60600970	60646906	8_Myog_60hr_MT_peak_22889_lociStitched	Itgb6	Pla2r1	Itgb6	74
chr2	60600970	60646906	8_Myog_60hr_MT_peak_22889_lociStitched	Itgb6	Pla2r1	Itgb6	74
chr9	116366299	116383743	6_Myog_60hr_MT_peak_41676_lociStitched, 3_Pbx1mt_peak_18888_lociStitched			Tgfbr2	76, 39
chr15	6055632	6059999	3_Pbx1mt_peak_5118_lociStitched			Dab2	77
chr16	38368375	38389648	4_MyoD_2d_MT_peak_6368_lociStitched, 8_Myog_60hr_MT_peak_16450_lociStitched	Popdc2	Maats1,Cox17,Pla1a	Popdc2	77, 174
chr12	9106513	9114035	3_Pbx1mt_peak_2625_lociStitched, 3_MyoD_2d_MT_peak_3280_lociStitched			Ttc32	78, 325
chr2	180185323	180228880	15_Myog_60hr_MT_peak_24934_lociStitched, 4_MyoD_2d_MT_peak_9502_lociStitched	Lama5	Adrm1,Cables2,Rps21,Mir3091	Lama5	78, 60
chr2	152781101	152826662	9_Myog_60hr_MT_peak_24134_lociStitched, 4_Pbx1mt_peak_9723_lociStitched	Bcl2l1	Cox4i2,Id1,Tpx2	Bcl2l1	79, 133
chr4	155118397	155149155	35_Myog_60hr_MT_peak_29732_lociStitched, 7_MyoD_2d_MT_peak_11268_lociStitched	Morn1	Rer1	Morn1	81, 403
chr11	120206990	120273931	22_Myog_60hr_MT_peak_8369_lociStitched	Bahcc1	2810410L24Rik	Bahcc1	82
chr14	31660738	31670106	5_MyoD_2d_MT_peak_4879_lociStitched, 4_Myog_60hr_MT_peak_12309_lociStitched	Btd	Hacl1	Btd	82, 209
chr2	117652311	117686120	9_Pbx1mt_peak_9435_lociStitched			4930412B13Rik	83
chr15	28131518	28139099	3_Pbx1mt_peak_5373_lociStitched, 4_Myog_60hr_MT_peak_13551_lociStitched			Dnahc5	84, 191
chr4	58268883	58289047	6_Pbx1mt_peak_11344_lociStitched, 3_Myog_60hr_MT_peak_27555_lociStitched	Musk	Musk	Musk	85, 344
chr5	143040814	143054208	6_Pbx1mt_peak_13595_lociStitched, 5_Myog_60hr_MT_peak_32055_lociStitched	Rnf216		Rnf216	86, 961
chr13	104494353	104510910	3_MyoD_2d_MT_peak_4611_lociStitched, 3_Myog_60hr_MT_peak_11747_lociStitched	Adamts6		Adamts6	87, 439
chr2	93426004	93470340	15_Myog_60hr_MT_peak_23335_lociStitched, 9_MyoD_2d_MT_peak_8881_lociStitched	Cd82,Gm10804	Cd82,Gm13807	Cd82	87, 41
chr4	11978686	12009521	5_MyoD_2d_MT_peak_10428_lociStitched, 4_Pbx1mt_peak_11114_lociStitched	1700123M08Rik	Pdp1	1700123M08Rik	88, 101
chr2	35250314	35278019	6_MyoD_2d_MT_peak_8580_lociStitched, 6_Myog_60hr_MT_peak_22603_lociStitched	Gsn	Rab14,Gsn	Gsn	89, 337
chr15	34043248	34057815	7_Pbx1mt_peak_5474_lociStitched, 5_Myog_60hr_MT_peak_13627_lociStitched		Mtdh	Mtdh	91, 505
chr10	80144990	80165259	11_Myog_60hr_MT_peak_4083_lociStitched, 5_MyoD_2d_MT_peak_1769_lociStitched	Midn,Atp5d,Bc1	Cirbp,Dos,Efna2,Stk11,Sbno2,1600002K03Rik	Midn	92, 308
chr12	113018853	113041777	11_Myog_60hr_MT_peak_10126_lociStitched, 6_MyoD_2d_MT_peak_3881_lociStitched	Pacs2	Btbd6,Brf1,Tex22	Pacs2	93, 58
chr15	103220875	103233395	5_Pbx1mt_peak_6437_lociStitched	Cbx5	Cbx5,Copz1,Nfe2,Hnrnpa1	Cbx5	93
chr1	163208677	163235721	4_Pbx1mt_peak_1151_lociStitched			Prrx1	95
chr18	35353023	35383763	5_MyoD_2d_MT_peak_7501_lociStitched, 3_Myog_60hr_MT_peak_19503_lociStitched	Sil1		Sil1	97, 595
chr1	66922108	66957819	11_Pbx1mt_peak_443_lociStitched	Myl1		Myl1	99
chr5	113845709	113883509	14_Myog_60hr_MT_peak_31140_lociStitched, 6_MyoD_2d_MT_peak_11859_lociStitched	Coro1c	Tmem119,Selplg	Selplg	99, 196
chr14	20874034	20894107	4_MyoD_2d_MT_peak_4756_lociStitched, 5_Myog_60hr_MT_peak_12040_lociStitched		Vcl,Plau	Vcl	100, 230
chr3	87973666	87987100	9_Myog_60hr_MT_peak_25796_lociStitched	Nes	Rrnad1,Crabp2,Hapln2,Bcan,Isg20l2	Nes	100
chr17	10024375	10042317	9_Myog_60hr_MT_peak_17194_lociStitched			4930452A19Rik	101
chr17	70993542	70998865	2_MyoD_2d_MT_peak_7181_lociStitched, 5_Myog_60hr_MT_peak_18742_lociStitched	Myl12a	Myom1,Myl12b	Myl12b	101, 348
chr8	84192088	84203790	11_Myog_60hr_MT_peak_38365_lociStitched		Mir181c,Zswim4,Mir181d,4930432K21Rik,D8Ertd738e,Nanos3,Cc2d1a,Mir3074-2,Mir24-2,Mir23a,Mir27a	Mir23a	102
chr3	123138282	123139875	4_Pbx1mt_peak_10777_lociStitched, 2_MyoD_2d_MT_peak_10176_lociStitched	Synpo2		Synpo2	103, 584
chr11	79716284	79739526	6_Myog_60hr_MT_peak_6659_lociStitched, 3_MyoD_2d_MT_peak_2677_lociStitched	Mir365-2	Mir193,4930542H20Rik	Mir365-2	107, 143
chr2	135848131	135875810	6_Pbx1mt_peak_9615_lociStitched	Plcb4		Plcb4	107
chr6	146941786	146961247	4_Pbx1mt_peak_14367_lociStitched, 3_MyoD_2d_MT_peak_13000_lociStitched	1700034J05Rik,Ppfibp1		1700034J05Rik	108, 335
chr19	46899919	46944719	8_Pbx1mt_peak_8578_lociStitched	Nt5c2	Nt5c2	Nt5c2	109
chr15	31302311	31338855	9_Myog_60hr_MT_peak_13587_lociStitched	Ankrd33b		Ankrd33b	110
chr15	31302311	31338855	9_Myog_60hr_MT_peak_13587_lociStitched	Ankrd33b		Ankrd33b	110
chr5	31602339	31610671	3_MyoD_2d_MT_peak_11448_lociStitched, 3_Myog_60hr_MT_peak_30089_lociStitched		AI839979,Mrpl33	Mrpl33	110, 250
chr4	120223152	120291382	22_Myog_60hr_MT_peak_28348_lociStitched	Foxo6		Foxo6	111
chr4	120223152	120291382	22_Myog_60hr_MT_peak_28348_lociStitched	Foxo6		Foxo6	111
chr5	15948759	15985497	7_Pbx1mt_peak_12951_lociStitched	Cacna2d1	Cacna2d1	Cacna2d1	112
chr14	105359921	105388072	5_MyoD_2d_MT_peak_5248_lociStitched, 8_Pbx1mt_peak_4995_lociStitched		5430440P10Rik	5430440P10Rik	113, 75
chr7	19777072	19840770	14_Myog_60hr_MT_peak_34605_lociStitched	Bcl3,Cblc	Gm19345,Ceacam16,Bcam,Pvrl2,Cblc,Ceacam19	Cblc	113
chr15	36854901	36893896	11_Myog_60hr_MT_peak_13690_lociStitched, 4_MyoD_2d_MT_peak_5475_lociStitched			Ywhaz	115, 118
chr15	36854901	36893896	11_Myog_60hr_MT_peak_13690_lociStitched, 4_MyoD_2d_MT_peak_5475_lociStitched			Ywhaz	115, 118
chr8	84719393	84760003	7_MyoD_2d_MT_peak_14302_lociStitched, 15_Myog_60hr_MT_peak_38394_lociStitched	Nfix	Lyl1,Nfix,Trmt1,Nacc1	Nfix	115, 143
chr8	84719393	84760003	7_MyoD_2d_MT_peak_14302_lociStitched, 15_Myog_60hr_MT_peak_38394_lociStitched	Nfix	Lyl1,Nfix,Trmt1,Nacc1	Nfix	115, 143
chr5	123135530	123155699	6_Myog_60hr_MT_peak_31471_lociStitched	Setd1b	Rhof,Hpd	Setd1b	116
chr7	110273747	110301063	11_Myog_60hr_MT_peak_36272_lociStitched	Swap70		Swap70	118
chr5	112260304	112288023	6_Myog_60hr_MT_peak_31100_lociStitched, 4_MyoD_2d_MT_peak_11844_lociStitched	Crybb1,Tpst2	Tfip11,Miat,Cryba4	Tpst2	120, 53
chr19	47486062	47492271	8_Myog_60hr_MT_peak_21477_lociStitched, 2_MyoD_2d_MT_peak_8197_lociStitched		Obfc1,Gm19557,Sh3pxd2a	Gm19557	121, 434
chr19	16950087	16966385	2_Pbx1mt_peak_8331_lociStitched, 4_Myog_60hr_MT_peak_20891_lociStitched	Prune2		Prune2	124, 193
chr5	144258876	144296224	10_Myog_60hr_MT_peak_32085_lociStitched	Bri3,Baiap2l1,Gm15708	Tecpr1	Gm15708	124
chrX	7276598	7293636	3_Myog_60hr_MT_peak_41935_lociStitched, 4_MyoD_2d_MT_peak_15738_lociStitched	Clcn5	Mir532,Mir362,Mir501,Mir188,Mir500	Clcn5	125, 35
chr4	62726667	62744925	6_MyoD_2d_MT_peak_10644_lociStitched, 6_Myog_60hr_MT_peak_27632_lociStitched			Rgs3	126, 314
chr6	72976912	72989415	4_Myog_60hr_MT_peak_33011_lociStitched, 3_MyoD_2d_MT_peak_12554_lociStitched		Tmsb10	Tmsb10	127, 74
chr17	29049127	29063550	14_Myog_60hr_MT_peak_17806_lociStitched, 9_MyoD_2d_MT_peak_6894_lociStitched	Gm16197	Stk38,Cdkn1a,Srsf3	Gm16197	128, 119
chr11	119794707	119826133	3_MyoD_2d_MT_peak_3193_lociStitched, 12_Myog_60hr_MT_peak_8301_lociStitched	Rptor,A430071A18Rik		A430071A18Rik	129, 94
chr11	119794707	119826133	3_MyoD_2d_MT_peak_3193_lociStitched, 12_Myog_60hr_MT_peak_8301_lociStitched	Rptor,A430071A18Rik		A430071A18Rik	129, 94
chr2	156716846	156737231	8_Myog_60hr_MT_peak_24298_lociStitched, 3_MyoD_2d_MT_peak_9313_lociStitched	Dlgap4,4930405A21Rik	Myl9	Dlgap4	130, 269
chr13	32922621	32934885	3_Pbx1mt_peak_3651_lociStitched, 3_Myog_60hr_MT_peak_10493_lociStitched		Serpinb6b,Serpinb1c	Serpinb1c	131, 155
chr15	77008918	77041109	13_Myog_60hr_MT_peak_14447_lociStitched, 4_MyoD_2d_MT_peak_5768_lociStitched	Mb	Apol6	Mb	131, 117
chr15	77008918	77041109	13_Myog_60hr_MT_peak_14447_lociStitched, 4_MyoD_2d_MT_peak_5768_lociStitched	Mb	Apol6	Mb	131, 117
chr3	122088274	122097484	4_Myog_60hr_MT_peak_26491_lociStitched, 3_MyoD_2d_MT_peak_10155_lociStitched	Abca4		Abca4	132, 107
chr10	68146955	68166714	4_Pbx1mt_peak_2065_lociStitched	Arid5b		Arid5b	134
chr7	130596576	130646176	17_Myog_60hr_MT_peak_36764_lociStitched, 3_MyoD_2d_MT_peak_13727_lociStitched	Tacc2	Nsmce4a,Tacc2	Tacc2	134, 537
chr4	137474110	137498529	10_Myog_60hr_MT_peak_29060_lociStitched, 3_MyoD_2d_MT_peak_11127_lociStitched	Hspg2	Cela3b,1700013G24Rik	Hspg2	135, 112
chr6	72473609	72493206	6_MyoD_2d_MT_peak_12536_lociStitched, 3_Myog_60hr_MT_peak_32980_lociStitched		4930414L22Rik,Mat2a	Mat2a	136, 1000
chr11	80479448	80512605	17_Myog_60hr_MT_peak_6692_lociStitched, 6_MyoD_2d_MT_peak_2695_lociStitched	Cdk5r1,Myo1d		Cdk5r1	137, 94
chr13	49344583	49372723	12_Myog_60hr_MT_peak_10862_lociStitched, 5_MyoD_2d_MT_peak_4224_lociStitched	Bicd2	Bicd2,Fgd3,Ippk	Bicd2	140, 75
chr18	35814846	35847869	18_Myog_60hr_MT_peak_19536_lociStitched, 6_MyoD_2d_MT_peak_7510_lociStitched	Cxxc5	Ube2d2a	Cxxc5	141, 307
chr11	52071806	52089330	6_Myog_60hr_MT_peak_5699_lociStitched	Cdkl3	Mir3061,Ppp2ca	Ppp2ca	142
chr6	97216266	97240467	2_Pbx1mt_peak_14125_lociStitched, 7_Myog_60hr_MT_peak_33440_lociStitched	Arl6ip5,Lmod3	Tmf1,Uba3	Arl6ip5	143, 144
chr11	46116609	46127958	3_MyoD_2d_MT_peak_2340_lociStitched, 5_Myog_60hr_MT_peak_5574_lociStitched	Adam19	Nipal4	Nipal4	144, 324
chr7	46329769	46380963	2_Pbx1mt_peak_14512_lociStitched, 14_Myog_60hr_MT_peak_35223_lociStitched	Myod1	Kcnc1	Myod1	144, 28
chr16	86209439	86223331	3_Pbx1mt_peak_6969_lociStitched, 3_Myog_60hr_MT_peak_16686_lociStitched			Adamts5	145, 458
chr4	133070796	133118134	15_Myog_60hr_MT_peak_28735_lociStitched, 4_MyoD_2d_MT_peak_11044_lociStitched	Ahdc1	Wasf2	Wasf2	146, 201
chr4	133070796	133118134	15_Myog_60hr_MT_peak_28735_lociStitched, 4_MyoD_2d_MT_peak_11044_lociStitched	Ahdc1	Wasf2	Wasf2	146, 201
chr1	184037072	184066382	6_Myog_60hr_MT_peak_2602_lociStitched, 3_Pbx1mt_peak_1353_lociStitched	Dusp10	1700056E22Rik	Dusp10	148, 610
chr3	144638185	144643830	2_MyoD_2d_MT_peak_10303_lociStitched, 3_Pbx1mt_peak_10974_lociStitched			Sep15	149, 116
