GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS
Megf10	NM_001001979	chr18:57162845-57167585,chr18:57259075-57271174	182,38
Kcnc1	NM_001112739	chr7:46341525-46353415	38
Myod1	NM_010866	chr7:46341525-46353415	38
Susd1	NM_001163288	chr4:59314965-59315843	39
Ptgs1	NM_008969	chr2:36222422-36279328,chr2:36222422-36279328	40,40
Coro1c	NM_011779	chr5:113872998-113874299	41
Selplg	NM_009151	chr5:113872998-113874299	41
Smad3	NM_016769	chr9:63657181-63665588,chr9:63702428-63725519	42,101
Pacsin2	NM_011862	chr15:83469574-83481548	43
Bik	NM_007546	chr15:83469574-83481548,chr15:83567837-83575488	43,198
Ttll1	NM_178869	chr15:83469574-83481548	43
Tpcn1	NM_145853	chr5:120561135-120563912	43
1110008J03Rik	NM_029096	chr5:120561135-120563912	43
Iqcd	NM_029408	chr5:120561135-120563912	43
Ddx54	NM_028041	chr5:120561135-120563912	43
Slc24a6	NM_133221	chr5:120561135-120563912	43
Tjap1	NM_001252473	chr17:46266324-46278232	44
Lrrc73	NM_001111142	chr17:46266324-46278232	44
Abcc10	NM_145140	chr17:46266324-46278232	44
Mir693	NR_030466	chr17:46266324-46278232	44
Dlk2	NM_207666	chr17:46266324-46278232	44
Polr1c	NM_009085	chr17:46266324-46278232	44
Yipf3	NM_145353	chr17:46266324-46278232	44
Nfkb1	NM_008689	chr3:135670974-135675285	44
Rapgef1	NM_054050	chr2:29691716-29717098	45
Gm13547	NM_001177392	chr2:29691716-29717098	45
Mir1195	NR_035427	chr16:30500321-30518192	46
Tmem44	NM_172614	chr16:30500321-30518192	46
Fmnl3	NM_011711	chr15:99327069-99352632	47
Prpf40b	NM_018786	chr15:99327069-99352632	47
Tmbim6	NM_026669	chr15:99327069-99352632	47
Fam186b	NM_001081254	chr15:99327069-99352632	47
2310036O22Rik	NM_026760	chr8:84981087-84981355	48
Hook2	NM_133255	chr8:84981087-84981355	48
Best2	NR_052011	chr8:84981087-84981355	48
Rtbdn	NM_144929	chr8:84981087-84981355	48
Mast1	NM_019945	chr8:84981087-84981355	48
Rnaseh2a	NM_027187	chr8:84981087-84981355	48
Junb	NM_008416	chr8:84981087-84981355	48
Asna1	NM_019652	chr8:84981087-84981355	48
Prdx2	NM_011563	chr8:84981087-84981355	48
Jph2	NM_001205076	chr2:163345051-163347723	49
Tnrc18	NM_001122730	chr5:142819895-142823965	49
Foxn1	NM_008238	chr11:78363486-78364418	50
Gm11194	NR_003282	chr11:78363486-78364418	50
Unc119	NM_011676	chr11:78363486-78364418	50
Aldoc	NM_009657	chr11:78363486-78364418	50
Pigs	NM_201406	chr11:78363486-78364418	50
Slc38a6	NM_001037717	chr12:73346533-73394029	52
D830013O20Rik	NR_046013	chr12:73346533-73394029	52
Pdgfb	NM_011057	chr15:80024326-80037852	52
Snord43	NR_028281	chr15:80024326-80037852	52
Rpl3	NM_013762	chr15:80024326-80037852	52
Snord83b	NR_028282	chr15:80024326-80037852	52
Rin3	NM_001161365	chr12:102286755-102295578	54
Myoz3	NM_133363	chr18:60604534-60618766	55
Rbm22	NM_025776	chr18:60604534-60618766	55
Zbtb20	NM_019778	chr16:43500142-43504888,chr16:43572844-43576644	56,79
Tbcc	NM_178385	chr17:46835479-46858606	56
Gltscr1l	NM_001100452	chr17:46835479-46858606	56
Rbm20	NM_001170847	chr19:53731774-53738976	56
Micu1	NM_144822	chr10:59813008-59821434	58
Actn1	NM_134156	chr12:80208214-80232340	58
Rn4.5s	NR_002841	chr6:47650467-47686310,chr6:47739709-47748571	59,86
March8	NM_027920	chr6:116406271-116408261	60
Bc1	NR_038088	chr10:80159876-80161822	61
Cirbp	NM_007705	chr10:80159876-80161822	61
Midn	NM_021565	chr10:80159876-80161822	61
Dos	NR_036582	chr10:80159876-80161822	61
Efna2	NM_007909	chr10:80159876-80161822	61
Atp5d	NM_025313	chr10:80159876-80161822	61
Stk11	NM_011492	chr10:80159876-80161822	61
1600002K03Rik	NM_027207	chr10:80159876-80161822	61
Dlx3	NM_010055	chr11:95161859-95166153	61
A730090H04Rik	NR_040279	chr11:95161859-95166153	61
Dlx4	NM_007867	chr11:95161859-95166153	61
Gm10494	NR_033462	chr17:79540153-79548060	61
Lpp	NM_001145952	chr16:24490879-24503907	63
A730098P11Rik	NR_038091	chr16:24490879-24503907	63
Cerk	NM_145475	chr15:86194779-86204145	64
Tbc1d22a	NM_145476	chr15:86194779-86204145	64
Syt13	NM_030725	chr2:92938036-92958639	64
Popdc2	NM_022318	chr16:38368424-38370972,chr16:38389424-38392139	65,336
Maats1	NM_001081025	chr16:38368424-38370972,chr16:38389424-38392139	65,336
Cox17	NM_001017429	chr16:38368424-38370972,chr16:38389424-38392139	65,336
Iffo2	NM_183148	chr4:139598723-139611930	65
Aldh4a1	NM_175438	chr4:139598723-139611930	65
Tas1r2	NM_031873	chr4:139598723-139611930	65
Vcam1	NM_011693	chr3:116114113-116133889	66
Lman1l	NM_199222	chr9:57610504-57626515	67
Csk	NM_007783	chr9:57610504-57626515	67
Cplx3	NM_146223	chr9:57610504-57626515	67
Scamp2	NM_022813	chr9:57610504-57626515	67
Ulk3	NM_027895	chr9:57610504-57626515	67
Sdccag8	NM_029756	chr1:177011801-177014680	69
Slc25a51	NM_001009949	chr4:45455057-45475209	69
Sorcs2	NM_030889	chr5:36069638-36070276,chr5:36367420-36378273	76,71
Itgb6	NM_001159564	chr2:60688948-60694901	72
Schip1	NM_013928	chr3:68597093-68610180	72
Gm21949	NM_001113419	chr3:68597093-68610180	72
Fgfr4	NM_008011	chr13:55169209-55171819,chr13:55174634-55174790	73,478
Nsd1	NM_008739	chr13:55169209-55171819,chr13:55174634-55174790	73,478
Cyb5r3	NM_029787	chr15:83156894-83167112,chr15:83215591-83224520	73,152
Rnu12	NR_004432	chr15:83156894-83167112	73
Poldip3	NM_178627	chr15:83156894-83167112	73
Rrp7a	NM_029101	chr15:83156894-83167112	73
Ttll11	NM_029774	chr2:35889848-35906605	73
Kcnj12	NM_001267593	chr11:61062722-61063454	74
4933433H22Rik	NR_045458	chr17:84110128-84116514	75
Phlda3	NM_013750	chr1:135759845-135771892	80
Csrp1	NM_007791	chr1:135759845-135771892	80
Ap1b1	NM_007454	chr11:5009854-5016542	82
Rasl10a	NM_145216	chr11:5009854-5016542	82
Gas2l1	NM_144560	chr11:5009854-5016542	82
Ank	NM_020332	chr15:27506436-27537110	82
Clic4	NM_013885	chr4:135286897-135301609	84
Egln3	NM_028133	chr12:54191927-54198581	85
Gdpd5	NM_201352	chr7:99360149-99362399	85
Serpinh1	NM_001111044	chr7:99360149-99362399	85
Slco3a1	NM_001038643	chr7:74448907-74459483	88
Klhl26	NM_001122830	chr8:70447793-70462221	88
Crlf1	NM_018827	chr8:70447793-70462221	88
2810428I15Rik	NM_025577	chr8:70447793-70462221	88
Crtc1	NM_001004062	chr8:70447793-70462221	88
Tmem59l	NM_182991	chr8:70447793-70462221	88
Uba52	NM_019883	chr8:70447793-70462221	88
2310043L19Rik	NR_037994	chr1:177623413-177634481	89
Gm11648	NR_045346	chr11:103300937-103306857,chr11:103386208-103387543	231,90
Arhgap27	NM_133715	chr11:103300937-103306857,chr11:103386208-103387543	231,90
Plekhm1	NM_183034	chr11:103386208-103387543	90
Pknox2	NM_148950	chr9:37054246-37055024	90
Cd97	NM_001163031	chr8:83737778-83744330	92
Ddx39	NM_197982	chr8:83737778-83744330	92
Pkn1	NM_001199593	chr8:83737778-83744330	92
Lrp1	NM_008512	chr10:127607021-127616510	93
Stat6	NM_009284	chr10:127607021-127616510	93
4930401O10Rik	NR_045942	chr11:71976874-71977370	93
Osgin1	NM_027950	chr8:119422161-119429024	94
Necab2	NM_054095	chr8:119422161-119429024	94
Mlycd	NM_019966	chr8:119422161-119429024	94
Iqca	NM_029122	chr1:90162529-90164684	95
Cxcr7	NM_007722	chr1:90162529-90164684	95
Cux1	NM_009986	chr5:136514229-136529247	95
Galnt2	NM_139272	chr8:124278626-124295668	96
Notch2	NM_010928	chr3:98017017-98024506	97
Ppp1r13b	NM_011625	chr12:111851768-111864717	98
Zfyve21	NM_026752	chr12:111851768-111864717	98
Xrcc3	NM_028875	chr12:111851768-111864717	98
Gramd4	NM_172611	chr15:86054797-86067922,chr15:86085936-86096084	98,105
Celsr1	NM_009886	chr15:86054797-86067922	98
4833403I15Rik	NM_029008	chr18:46855154-46863538	99
Col4a2	NM_009932	chr8:11363361-11387442	99
Myof	NM_001099634	chr19:38004432-38038452	100
Cep55	NM_028293	chr19:38004432-38038452	100
1700027A15Rik	NR_038001	chr1:72966431-72969679	101
Tnp1	NM_009407	chr1:72966431-72969679	101
Sh3pxd2a	NM_001164717	chr19:47396178-47404455,chr19:47442100-47442217	103,403
Mir1198	NR_035430	chr12:55466492-55467104	104
Nfkbia	NM_010907	chr12:55466492-55467104	104
Creb3l1	NM_011957	chr2:92004759-92007267,chr2:92009136-92021218	105,121
Dgkz	NM_138306	chr2:92004759-92007267,chr2:92009136-92021218	105,121
Frmd8	NM_026169	chr19:5848259-5851659	107
Slc25a45	NM_134154	chr19:5848259-5851659	107
Neat1	NR_003513	chr19:5848259-5851659	107
Malat1	NR_002847	chr19:5848259-5851659	107
Tigd3	NM_198634	chr19:5848259-5851659	107
Rnf220	NM_025739	chr4:117317844-117318809	108
Ankrd33b	NM_026153	chr15:31337261-31352030	109
Xist	NR_001463	chrX:103509610-103519841	109
Jpx	NR_015508	chrX:103509610-103519841	109
Gm9159	NR_033398	chrX:103509610-103519841	109
Mnf1	NM_026063	chr17:27131328-27146778,chr17:27071987-27083970	240,110
Ip6k3	NM_173027	chr17:27131328-27146778	110
Sept9	NM_001113486	chr11:117317920-117318109	113
Col5a1	NM_015734	chr2:27835771-27845165	113
Cubn	NM_001081084	chr2:13410245-13413659	114
Ifne	NM_177348	chr4:88928599-88931650	114
Mir31	NR_029747	chr4:88928599-88931650	114
Foxk1	NM_199068	chr5:142414133-142423590	115
Ap5z1	NM_172725	chr5:142414133-142423590	115
Smndc1	NM_172429	chr19:53404351-53410640	119
Gpc1	NM_016696	chr1:92799760-92816258	120
Mir149	NR_029559	chr1:92799760-92816258	120
Asb4	NM_023048	chr6:5432003-5444778	121
Tle3	NM_009389	chr9:61368542-61378021	122
Hdac11	NM_144919	chr6:91192937-91207878	123
Fbln2	NM_001081437	chr6:91192937-91207878	123
Runx2	NR_073425	chr17:44491515-44508509,chr17:44700438-44718878	124,257
D730005E14Rik	NR_030675	chr15:79935469-79952817	125
Cbx7	NM_144811	chr15:79935469-79952817	125
Apobec3	NM_030255	chr15:79935469-79952817	125
B330016D10Rik	NR_030695	chr4:141559262-141573267	128
Fblim1	NM_001163256	chr4:141559262-141573267	128
Spen	NM_019763	chr4:141559262-141573267	128
AI507597	NR_033566	chr4:141559262-141573267	128
Tmem82	NM_145987	chr4:141559262-141573267	128
4930488B22Rik	NR_040627	chr1:184663583-184668353	129
Apbb2	NM_001201415	chr5:66524090-66543943	129
Eps8l3	NM_133867	chr3:107814419-107828870,chr3:107814419-107828870	130,130
Irf2bpl	NM_145836	chr12:86888338-86894709	131
Chit1	NM_027979	chr1:134091815-134099639	136
Btg2	NM_007570	chr1:134091815-134099639	136
Tmod1	NM_021883	chr4:46085456-46088208	137
Man1c1	NM_207237	chr4:134624160-134639673	137
M1ap	NM_033079	chr6:82996722-83024709	139
Tlx2	NM_009392	chr6:82996722-83024709	139
Dqx1	NM_033606	chr6:82996722-83024709	139
Dok1	NM_010070	chr6:82996722-83024709	139
Htra2	NM_019752	chr6:82996722-83024709	139
Aup1	NM_007517	chr6:82996722-83024709	139
Loxl3	NM_013586	chr6:82996722-83024709	139
D5Ertd579e	NM_001081232	chr5:36713031-36724704	143
Bloc1s4	NM_133724	chr5:36713031-36724704	143
Hecw2	NM_001001883	chr1:53834268-53846805	144
Stk17b	NM_133810	chr1:53834268-53846805	144
Cdh2	NM_007664	chr18:16734758-16741126	147
Gm5086	NR_046157	chr13:97533500-97543342	148
Ctnna1	NM_009818	chr18:35185023-35198965	149
Lrrtm2	NM_178005	chr18:35185023-35198965	149
Arhgap22	NM_153800	chr14:33243260-33250600	151
A4galt	NM_001004150	chr15:83215591-83224520	152
Qser1	NM_001123327	chr2:104855775-104864607	153
Prrg4	NM_178695	chr2:104855775-104864607	153
Ccdc73	NM_177600	chr2:104855775-104864607	153
Daam1	NM_026102	chr12:71885172-71898547	156
Fbxo32	NM_026346	chr15:58256939-58261247	161
Fbxl13	NM_177076	chr5:21486807-21503445	161
Lrrc17	NM_028977	chr5:21486807-21503445	161
Deptor	NM_001037937	chr15:55186591-55196655	164
Arhgef10	NM_172751	chr8:14991766-14996384	164
Kbtbd11	NM_029116	chr8:14991766-14996384	164
BB014433	NR_037972	chr8:14991766-14996384	164
Gsn	NM_001206368	chr2:35269162-35278054	168
4933422A05Rik	NR_040715	chr9:35324668-35341118	169
Traf2	NM_009422	chr2:25534181-25551403	171
Lcn12	NM_029958	chr2:25534181-25551403	171
Gm996	NM_001005424	chr2:25534181-25551403	171
Mamdc4	NM_001081199	chr2:25534181-25551403	171
C8g	NM_001271777	chr2:25534181-25551403	171
Fbxw5	NM_013908	chr2:25534181-25551403	171
Phpt1	NM_029293	chr2:25534181-25551403	171
Edf1	NM_021519	chr2:25534181-25551403	171
Wnt7b	NM_009528	chr15:85598993-85603620	176
AU022754	NR_040433	chr15:85598993-85603620	176
Speg	NM_007463	chr1:75338105-75347759	177
Dnpep	NM_001110831	chr1:75338105-75347759	177
Des	NM_010043	chr1:75338105-75347759	177
Gm15179	NR_037976	chr1:75338105-75347759	177
Zbtb7c	NM_145356	chr18:76057091-76062180	179
2900057B20Rik	NR_045365	chr18:76057091-76062180	179
Pim1	NM_008842	chr17:29428417-29445351	182
2010310C07Rik	NR_045169	chr6:42375627-42397407	185
Zyx	NM_011777	chr6:42375627-42397407	185
Epha1	NM_023580	chr6:42375627-42397407	185
Tas2r126	NM_207028	chr6:42375627-42397407	185
Tas2r135	NM_199159	chr6:42375627-42397407	185
Tas2r143	NM_001001452	chr6:42375627-42397407	185
1810013L24Rik	NM_001081400	chr16:8852042-8862598	189
1700112E06Rik	NM_028275	chr14:22622260-22651450	193
Mcl1	NM_008562	chr3:95663975-95675698,chr3:95696150-95707948	194,353
Adamtsl4	NM_144899	chr3:95663975-95675698,chr3:95696150-95707948	194,353
Ensa	NM_019561	chr3:95663975-95675698	194
Tcf7l2	NM_009333	chr19:55747422-55749859	195
4930552P12Rik	NR_045318	chr19:55747422-55749859	195
Gm5468	NR_027376	chr15:25449112-25462498	196
Basp1	NM_027395	chr15:25449112-25462498	196
Mdga2	NM_001193266	chr12:67059122-67059821	198
Ttll12	NM_183017	chr15:83567837-83575488	198
Tspo	NM_009775	chr15:83567837-83575488	198
Mcat	NM_001030014	chr15:83567837-83575488	198
Arid5b	NM_023598	chr10:68143933-68158294,chr10:68242067-68261731	220,201
Nuak1	NM_001004363	chr10:84392199-84409738	204
Ccdc83	NM_183293	chr7:90231375-90234245	204
Mtss1	NM_001146180	chr15:58975835-58982168,chr15:59066148-59076125	309,206
Ltbp1	NM_206958	chr17:75269934-75273615	213
1700123M08Rik	NR_040577	chr4:12006826-12017422	216
Pdp1	NM_001098230	chr4:12006826-12017422	216
Slc6a6	NM_009320	chr6:91638484-91647826	220
Mamdc2	NM_174857	chr19:23357382-23374426	222
Tmem230	NM_001141971	chr2:132206398-132212683	222
Pcna	NM_011045	chr2:132206398-132212683	222
Capn8	NM_001145806	chr1:182520357-182520670	224
Capn2	NM_009794	chr1:182520357-182520670	224
Bin3	NM_021328	chr14:70095978-70107267	226
Egr3	NM_018781	chr14:70095978-70107267	226
2610301G19Rik	NM_146055	chr14:70095978-70107267	226
Macrod1	NM_134147	chr19:7083416-7090723	226
Flrt1	NM_201411	chr19:7083416-7090723	226
Stip1	NM_016737	chr19:7083416-7090723	226
Mogat1	NM_026713	chr1:78526612-78532672	229
Farsb	NM_011811	chr1:78526612-78532672	229
Rock2	NM_009072	chr12:16866385-16879758	231
Ralgps1	NM_175211	chr2:33306702-33319493	232
Mast4	NM_175171	chr13:102894245-102901029	233
Maml3	NM_001004176	chr3:52046232-52061209,chr3:52070100-52070237	315,234
Ece1	NM_199307	chr4:137890700-137908470	234
Popdc3	NM_024286	chr10:45299556-45315141	235
Bves	NM_024285	chr10:45299556-45315141	235
Itpr3	NM_080553	chr17:27071987-27083970	240
Ggnbp1	NM_027544	chr17:27071987-27083970	240
Bak1	NM_007523	chr17:27071987-27083970	240
Zfp608	NM_175751	chr18:54906708-54911544	242
Gm4285	NR_045294	chr14:75855284-75876620	245
Snora31	NR_028481	chr14:75855284-75876620	245
Tpt1	NM_009429	chr14:75855284-75876620	245
Smyd3	NM_027188	chr1:179041960-179060364	246
Atp2b4	NM_213616	chr1:133771968-133793569	250
Tmpo	NM_001080134	chr10:91157105-91158804	250
Slc25a3	NM_133668	chr10:91157105-91158804	250
Tspan15	NM_197996	chr10:62192708-62195687	251
Mical2	NM_001193305	chr7:112298118-112305613	254
Tspan9	NM_175414	chr6:127970324-127976914,chr6:128006615-128006752	258,380
Rbfox2	NM_001110828	chr15:77149654-77161756	265
Arhgef10l	NM_172415	chr4:140634975-140636980	266
Ptgis	NM_008968	chr2:167263534-167273600	269
Purb	NM_011221	chr11:6481021-6481233	271
Gm11974	NR_045893	chr11:6481021-6481233	271
Myo1g	NM_178440	chr11:6481021-6481233	271
H2afv	NM_029938	chr11:6481021-6481233	271
9430023L20Rik	NM_026566	chr15:101312187-101327516	272
Nr4a1	NM_010444	chr15:101312187-101327516	272
6030408B16Rik	NR_033803	chr15:101312187-101327516	272
Mir1941	NR_035462	chr15:101312187-101327516	272
Krt80	NM_028770	chr15:101312187-101327516	272
2610307P16Rik	NR_045054	chr13:28731576-28759307,chr13:28731576-28759307	273,273
Ccrn4l	NM_009834	chr3:51217911-51221090	275
Ahnak	NM_001039959	chr19:9053011-9066171,chr19:9074164-9082786	356,280
Scgb1a1	NM_011681	chr19:9053011-9066171,chr19:9074164-9082786	356,280
Tns1	NM_027884	chr1:73956444-73963382	284
Lmo7	NM_201529	chr14:101879147-101890499	284
Mxra7	NM_026280	chr11:116814597-116814737	285
St6galnac1	NM_011371	chr11:116814597-116814737	285
Srsf2	NM_011358	chr11:116814597-116814737	285
Jmjd6	NM_033398	chr11:116814597-116814737	285
Mettl23	NM_028865	chr11:116814597-116814737	285
Mfsd11	NM_178620	chr11:116814597-116814737	285
Pcdhga9	NM_033592	chr18:37826086-37836414	285
Pcdhgb1	NM_033574	chr18:37826086-37836414	285
Pcdhgc3	NM_033581	chr18:37826086-37836414	285
Pcdhga12	NM_033595	chr18:37826086-37836414	285
Pcdhgb5	NM_033577	chr18:37826086-37836414	285
Pcdhga6	NM_033589	chr18:37826086-37836414	285
Pcdhga3	NM_033586	chr18:37826086-37836414	285
Pcdhgb7	NM_033579	chr18:37826086-37836414	285
Pcdhgb4	NM_033576	chr18:37826086-37836414	285
Pcdhga2	NM_033585	chr18:37826086-37836414	285
Pcdhga10	NM_033593	chr18:37826086-37836414	285
Pcdhga1	NM_033584	chr18:37826086-37836414	285
Pcdhga11	NM_033594	chr18:37826086-37836414	285
Pcdhgb2	NM_033575	chr18:37826086-37836414	285
Pcdhgb8	NM_033580	chr18:37826086-37836414	285
Pcdhga8	NM_033591	chr18:37826086-37836414	285
