REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	myobH3K27ac.bam	Input_MB.bam
1_Snai1_GM.nodup_peak_413_lociStitched	chr13	19072378	19072520	1	143	0.0	7.8952
1_Snai1_GM.nodup_peak_541_lociStitched	chr14	63489407	63489549	1	143	0.0	13.419
1_Snai1_GM.nodup_peak_871_lociStitched	chr18	82418920	82419062	1	143	4.7286	7.3414
1_Snai1_GM.nodup_peak_1390_lociStitched	chr6	42793296	42793437	1	142	0.0	8.5164
1_Snai1_GM.nodup_peak_303_lociStitched	chr11	99236286	99236427	1	142	0.0	12.8451
1_Snai1_GM.nodup_peak_265_lociStitched	chr11	57434254	57434394	1	141	0.0	20.79
1_Snai1_GM.nodup_peak_1476_lociStitched	chr7	60974290	60974430	1	141	2.38	4.718
1_Snai1_GM.nodup_peak_131_lociStitched	chr1	159621416	159621555	1	140	0.0	21.4199
1_Snai1_GM.nodup_peak_784_lociStitched	chr17	72008307	72008446	1	140	0.0	21.7813
1_Snai1_GM.nodup_peak_1384_lociStitched	chr6	36378073	36378212	1	140	0.0	9.1879
1_Snai1_GM.nodup_peak_623_lociStitched	chr15	21809510	21809649	1	140	0.0	18.5426
1_Snai1_GM.nodup_peak_556_lociStitched	chr14	69835436	69835575	1	140	6.4496	12.1764
1_Snai1_GM.nodup_peak_1187_lociStitched	chr4	64497854	64497992	1	139	28334.436	19976.5488
1_Snai1_GM.nodup_peak_1416_lociStitched	chr6	85498281	85498419	1	139	18.2988	19.6926
1_Snai1_GM.nodup_peak_824_lociStitched	chr18	25668182	25668320	1	139	9.6462	26.8548
1_Snai1_GM.nodup_peak_138_lociStitched	chr1	173361809	173361947	1	139	0.0	11.8542
1_Snai1_GM.nodup_peak_1586_lociStitched	chr8	95622640	95622777	1	138	0.0	6.85
1_Snai1_GM.nodup_peak_537_lociStitched	chr14	58165136	58165273	1	138	0.0	22.8927
1_Snai1_GM.nodup_peak_247_lociStitched	chr11	17545281	17545418	1	138	0.0	6.6171
1_Snai1_GM.nodup_peak_1359_lociStitched	chr5	150403171	150403308	1	138	6.5075	18.358
1_Snai1_GM.nodup_peak_1420_lociStitched	chr6	88886538	88886675	1	138	2.3701	4.2196
1_Snai1_GM.nodup_peak_640_lociStitched	chr15	46055018	46055154	1	137	8.092	10.0096
1_Snai1_GM.nodup_peak_1653_lociStitched	chr9	21950460	21950595	1	136	0.0	20.817
1_Snai1_GM.nodup_peak_480_lociStitched	chr13	115252676	115252811	1	136	0.0	9.6795
1_Snai1_GM.nodup_peak_970_lociStitched	chr2	79512196	79512330	1	135	0.0	20.5288
1_Snai1_GM.nodup_peak_293_lociStitched	chr11	87448957	87449091	1	135	0.0	29.6542
1_Snai1_GM.nodup_peak_1366_lociStitched	chr6	11991507	11991640	1	134	0.0	4.1097
1_Snai1_GM.nodup_peak_1081_lociStitched	chr3	29801694	29801827	1	134	0.0	11.8769
1_Snai1_GM.nodup_peak_1353_lociStitched	chr5	146360508	146360640	1	133	0.0	15.1008
1_Snai1_GM.nodup_peak_1046_lociStitched	chr2	157663708	157663839	1	132	3.4191	13.5323
1_Snai1_GM.nodup_peak_60_lociStitched	chr1	60944897	60945028	1	132	7.5194	13.7812
1_Snai1_GM.nodup_peak_1032_lociStitched	chr2	143451790	143451921	1	132	0.0	8.8294
1_Snai1_GM.nodup_peak_379_lociStitched	chr12	92405630	92405761	1	132	0.0	1.7161
1_Snai1_GM.nodup_peak_342_lociStitched	chr12	37876639	37876769	1	131	0.0	13.377
1_Snai1_GM.nodup_peak_1453_lociStitched	chr7	12493870	12494000	1	131	0.0	14.391
1_Snai1_GM.nodup_peak_1110_lociStitched	chr3	82412531	82412660	1	130	0.0	14.1513
1_Snai1_GM.nodup_peak_730_lociStitched	chr16	69485091	69485219	1	129	0.0	6.9376
1_Snai1_GM.nodup_peak_374_lociStitched	chr12	84812644	84812772	1	129	88.7808	19.9936
1_Snai1_GM.nodup_peak_354_lociStitched	chr12	61175458	61175586	1	129	0.0	7.424
1_Snai1_GM.nodup_peak_760_lociStitched	chr17	27466770	27466898	1	129	6.2208	8.7808
1_Snai1_GM.nodup_peak_587_lociStitched	chr14	94641877	94642005	1	129	0.0	3.3408
1_Snai1_GM.nodup_peak_947_lociStitched	chr2	53440449	53440576	1	128	2.8321	7.6073
1_Snai1_GM.nodup_peak_1317_lociStitched	chr5	98962600	98962727	1	128	3.2258	5.8547
1_Snai1_GM.nodup_peak_1343_lociStitched	chr5	135843551	135843678	1	128	7.9502	16.9545
1_Snai1_GM.nodup_peak_574_lociStitched	chr14	85835615	85835742	1	128	0.0	7.5057
1_Snai1_GM.nodup_peak_1434_lociStitched	chr6	111877834	111877960	1	127	0.0	5.4432
1_Snai1_GM.nodup_peak_172_lociStitched	chr10	29146961	29147087	1	127	18.5724	5.6826
1_Snai1_GM.nodup_peak_346_lociStitched	chr12	44425178	44425303	1	126	0.0	13.15
1_Snai1_GM.nodup_peak_1177_lociStitched	chr4	28176909	28177034	1	126	107.1625	400.575
1_Snai1_GM.nodup_peak_858_lociStitched	chr18	70411120	70411245	1	126	18.775	7.975
1_Snai1_GM.nodup_peak_1538_lociStitched	chr8	20550493	20550617	1	125	1223.3468	20.2616
1_Snai1_GM.nodup_peak_654_lociStitched	chr15	68031607	68031731	1	125	7.4648	13.5036
1_Snai1_GM.nodup_peak_762_lociStitched	chr17	28580489	28580613	1	125	7.2912	9.6472
1_Snai1_GM.nodup_peak_461_lociStitched	chr13	99564490	99564614	1	125	0.0	14.2476
1_Snai1_GM.nodup_peak_228_lociStitched	chr10	119705478	119705602	1	125	0.0	22.754
1_Snai1_GM.nodup_peak_874_lociStitched	chr18	86471152	86471275	1	124	0.0	8.1795
1_Snai1_GM.nodup_peak_1544_lociStitched	chr8	37389718	37389841	1	124	0.0	10.3566
1_Snai1_GM.nodup_peak_1771_lociStitched	chrX	86258797	86258920	1	124	5.6826	9.9999
1_Snai1_GM.nodup_peak_578_lociStitched	chr14	86561328	86561450	1	123	0.0	12.871
1_Snai1_GM.nodup_peak_331_lociStitched	chr12	24425111	24425233	1	123	0.0	7.259
1_Snai1_GM.nodup_peak_225_lociStitched	chr10	115143731	115143853	1	123	0.0	23.2532
1_Snai1_GM.nodup_peak_956_lociStitched	chr2	65619920	65620042	1	123	0.0	11.0654
1_Snai1_GM.nodup_peak_934_lociStitched	chr2	36646118	36646240	1	123	3.4526	17.7388
1_Snai1_GM.nodup_peak_485_lociStitched	chr14	10281065	10281186	1	122	0.0	8.0102
1_Snai1_GM.nodup_peak_1679_lociStitched	chr9	58061016	58061137	1	122	10.0672	11.9064
1_Snai1_GM.nodup_peak_656_lociStitched	chr15	68919614	68919735	1	122	0.0	3.63
1_Snai1_GM.nodup_peak_739_lociStitched	chr16	82428740	82428861	1	122	0.0	9.5711
1_Snai1_GM.nodup_peak_1109_lociStitched	chr3	81798072	81798193	1	122	13.2374	19.1543
1_Snai1_GM.nodup_peak_1532_lociStitched	chr8	9635359	9635480	1	122	0.0	14.4232
1_Snai1_GM.nodup_peak_1257_lociStitched	chr5	3728947	3729068	1	122	0.0	11.5918
1_Snai1_GM.nodup_peak_398_lociStitched	chr12	115283787	115283908	1	122	0.0	2.7225
1_Snai1_GM.nodup_peak_200_lociStitched	chr10	71403752	71403873	1	122	5.7112	12.2815
1_Snai1_GM.nodup_peak_478_lociStitched	chr13	113003049	113003170	1	122	4.4165	14.4353
1_Snai1_GM.nodup_peak_1183_lociStitched	chr4	35885084	35885204	1	121	0.0	14.664
1_Snai1_GM.nodup_peak_1410_lociStitched	chr6	66843474	66843594	1	121	0.0	19.044
1_Snai1_GM.nodup_peak_1207_lociStitched	chr4	87598562	87598682	1	121	0.0	13.008
1_Snai1_GM.nodup_peak_1566_lociStitched	chr8	74851948	74852068	1	121	0.0	5.832
1_Snai1_GM.nodup_peak_234_lociStitched	chr10	126625653	126625773	1	121	2.544	13.848
1_Snai1_GM.nodup_peak_931_lociStitched	chr2	33018174	33018294	1	121	0.0	19.428
1_Snai1_GM.nodup_peak_1286_lociStitched	chr5	33438312	33438432	1	121	10.908	17.112
1_Snai1_GM.nodup_peak_1354_lociStitched	chr5	146567642	146567761	1	120	0.0	0.0
1_Snai1_GM.nodup_peak_1656_lociStitched	chr9	23192438	23192557	1	120	0.7378	12.4117
1_Snai1_GM.nodup_peak_1687_lociStitched	chr9	66307478	66307597	1	120	23.2407	20.1586
1_Snai1_GM.nodup_peak_661_lociStitched	chr15	72689920	72690039	1	120	11.4478	19.992
1_Snai1_GM.nodup_peak_725_lociStitched	chr16	62208316	62208435	1	120	0.0	6.8663
1_Snai1_GM.nodup_peak_957_lociStitched	chr2	67533548	67533667	1	120	3.1059	4.9385
1_Snai1_GM.nodup_peak_441_lociStitched	chr13	69556874	69556992	1	119	0.0	12.7322
1_Snai1_GM.nodup_peak_692_lociStitched	chr15	103305371	103305489	1	119	59.7434	10.8088
1_Snai1_GM.nodup_peak_698_lociStitched	chr16	12608424	12608542	1	119	0.0	12.39
1_Snai1_GM.nodup_peak_57_lociStitched	chr1	56271850	56271968	1	119	0.0	6.9384
1_Snai1_GM.nodup_peak_1236_lociStitched	chr4	137676204	137676322	1	119	0.0	5.487
1_Snai1_GM.nodup_peak_1719_lociStitched	chr9	105244147	105244265	1	119	0.0	2.0414
1_Snai1_GM.nodup_peak_1270_lociStitched	chr5	20847068	20847186	1	119	0.0	8.7792
1_Snai1_GM.nodup_peak_334_lociStitched	chr12	27483278	27483396	1	119	0.0	12.213
1_Snai1_GM.nodup_peak_1477_lociStitched	chr7	70173466	70173583	1	118	0.0	6.3063
1_Snai1_GM.nodup_peak_1123_lociStitched	chr3	102688015	102688132	1	118	0.0	16.4853
1_Snai1_GM.nodup_peak_512_lociStitched	chr14	32597326	32597443	1	118	8.7048	10.2492
1_Snai1_GM.nodup_peak_505_lociStitched	chr14	29030072	29030189	1	118	0.0	7.0785
1_Snai1_GM.nodup_peak_301_lociStitched	chr11	98314210	98314327	1	118	0.0	8.4708
1_Snai1_GM.nodup_peak_899_lociStitched	chr19	45885969	45886086	1	118	0.0	11.349
1_Snai1_GM.nodup_peak_992_lociStitched	chr2	99093050	99093167	1	118	0.0	2.4102
1_Snai1_GM.nodup_peak_147_lociStitched	chr1	182520553	182520670	1	118	139.698	13.5486
1_Snai1_GM.nodup_peak_1321_lociStitched	chr5	103648586	103648703	1	118	16.4034	10.0854
1_Snai1_GM.nodup_peak_1159_lociStitched	chr3	143789836	143789953	1	118	6.5637	16.3098
1_Snai1_GM.nodup_peak_1427_lociStitched	chr6	98680784	98680900	1	117	0.0	4.5704
1_Snai1_GM.nodup_peak_1100_lociStitched	chr3	61309104	61309220	1	117	0.0	11.9944
1_Snai1_GM.nodup_peak_769_lociStitched	chr17	33972763	33972879	1	117	7.6096	4.6168
1_Snai1_GM.nodup_peak_794_lociStitched	chr17	79536737	79536853	1	117	26.216	15.66
1_Snai1_GM.nodup_peak_504_lociStitched	chr14	27596406	27596522	1	117	7.5168	9.9412
1_Snai1_GM.nodup_peak_598_lociStitched	chr14	104453973	104454089	1	117	1.2992	11.7972
1_Snai1_GM.nodup_peak_1496_lociStitched	chr7	93792963	93793079	1	117	0.0	8.7232
1_Snai1_GM.nodup_peak_456_lociStitched	chr13	93830971	93831087	1	117	0.0	9.2916
1_Snai1_GM.nodup_peak_742_lociStitched	chr16	95093885	95094000	1	116	9.6715	12.3165
1_Snai1_GM.nodup_peak_509_lociStitched	chr14	31564972	31565087	1	116	14.8695	13.4665
1_Snai1_GM.nodup_peak_655_lociStitched	chr15	68430635	68430750	1	116	5.198	21.9765
1_Snai1_GM.nodup_peak_152_lociStitched	chr1	191728458	191728573	1	116	10.856	12.0865
1_Snai1_GM.nodup_peak_260_lociStitched	chr11	48696468	48696583	1	116	0.0	12.0865
1_Snai1_GM.nodup_peak_129_lociStitched	chr1	153785149	153785263	1	115	0.0	10.0548
1_Snai1_GM.nodup_peak_1243_lociStitched	chr4	146925172	146925286	1	115	8.8464	41.4618
1_Snai1_GM.nodup_peak_740_lociStitched	chr16	89071166	89071280	1	115	0.0	13.4634
1_Snai1_GM.nodup_peak_238_lociStitched	chr11	3774742	3774856	1	115	0.0	4.959
1_Snai1_GM.nodup_peak_382_lociStitched	chr12	94595364	94595478	1	115	4.4118	0.7752
1_Snai1_GM.nodup_peak_1772_lociStitched	chrX	89110393	89110507	1	115	0.0	8.2308
1_Snai1_GM.nodup_peak_932_lociStitched	chr2	34090713	34090827	1	115	3.591	18.1032
1_Snai1_GM.nodup_peak_746_lociStitched	chr17	11309983	11310096	1	114	0.0	4.6217
1_Snai1_GM.nodup_peak_1348_lociStitched	chr5	138552431	138552544	1	114	0.0	1.469
1_Snai1_GM.nodup_peak_155_lociStitched	chr1	193738943	193739056	1	114	0.0	0.3503
1_Snai1_GM.nodup_peak_287_lociStitched	chr11	81115803	81115916	1	114	0.0	12.9159
1_Snai1_GM.nodup_peak_1403_lociStitched	chr6	55610118	55610231	1	114	0.0	8.1812
1_Snai1_GM.nodup_peak_1726_lociStitched	chr9	113190666	113190779	1	114	0.0	11.1757
1_Snai1_GM.nodup_peak_1522_lociStitched	chr7	131245182	131245295	1	114	9.5033	15.8991
1_Snai1_GM.nodup_peak_941_lociStitched	chr2	43613678	43613791	1	114	0.0	13.2549
1_Snai1_GM.nodup_peak_1670_lociStitched	chr9	44007455	44007567	1	113	0.0	8.1536
1_Snai1_GM.nodup_peak_1674_lociStitched	chr9	50029198	50029310	1	113	0.0	17.3264
1_Snai1_GM.nodup_peak_1487_lociStitched	chr7	80491204	80491316	1	113	17.7296	19.6672
1_Snai1_GM.nodup_peak_96_lociStitched	chr1	93272646	93272758	1	113	2.408	5.824
1_Snai1_GM.nodup_peak_937_lociStitched	chr2	38418103	38418215	1	113	0.7952	9.6768
1_Snai1_GM.nodup_peak_1242_lociStitched	chr4	146484227	146484339	1	113	6.8432	19.096
1_Snai1_GM.nodup_peak_569_lociStitched	chr14	78921333	78921445	1	113	23.8112	12.4208
1_Snai1_GM.nodup_peak_359_lociStitched	chr12	67059428	67059540	1	113	2783.2784	2873.4608
1_Snai1_GM.nodup_peak_653_lociStitched	chr15	65548046	65548158	1	113	0.0	11.9504
1_Snai1_GM.nodup_peak_153_lociStitched	chr1	192745641	192745752	1	112	2.2089	10.5228
1_Snai1_GM.nodup_peak_1307_lociStitched	chr5	68398488	68398599	1	112	0.0	5.6499
1_Snai1_GM.nodup_peak_195_lociStitched	chr10	64418536	64418647	1	112	2.9415	3.8628
1_Snai1_GM.nodup_peak_902_lociStitched	chr19	54175905	54176016	1	112	0.0	5.217
1_Snai1_GM.nodup_peak_168_lociStitched	chr10	26082220	26082331	1	112	4.8618	28.2495
1_Snai1_GM.nodup_peak_184_lociStitched	chr10	41208869	41208980	1	112	0.0	17.1828
1_Snai1_GM.nodup_peak_304_lociStitched	chr11	100203598	100203709	1	112	15.5511	12.4098
1_Snai1_GM.nodup_peak_198_lociStitched	chr10	70540608	70540719	1	112	0.0	19.0698
1_Snai1_GM.nodup_peak_982_lociStitched	chr2	94245502	94245612	1	111	0.0	11.066
1_Snai1_GM.nodup_peak_780_lociStitched	chr17	69969166	69969276	1	111	0.0	2.552
1_Snai1_GM.nodup_peak_940_lociStitched	chr2	39806857	39806967	1	111	0.0	13.145
1_Snai1_GM.nodup_peak_546_lociStitched	chr14	64546923	64547033	1	111	7.271	30.239
1_Snai1_GM.nodup_peak_438_lociStitched	chr13	54971016	54971126	1	111	14.762	9.889
1_Snai1_GM.nodup_peak_823_lociStitched	chr18	25500588	25500698	1	111	10.659	15.477
1_Snai1_GM.nodup_peak_66_lociStitched	chr1	64158888	64158998	1	111	0.0	14.795
1_Snai1_GM.nodup_peak_428_lociStitched	chr13	45314418	45314527	1	110	12.099	6.54
1_Snai1_GM.nodup_peak_758_lociStitched	chr17	25813666	25813775	1	110	9.9844	13.6359
1_Snai1_GM.nodup_peak_1730_lociStitched	chr9	119149746	119149855	1	110	14.17	15.0638
1_Snai1_GM.nodup_peak_1215_lociStitched	chr4	106407892	106408001	1	110	0.0	15.5979
1_Snai1_GM.nodup_peak_197_lociStitched	chr10	66980499	66980608	1	110	17.44	11.1071
1_Snai1_GM.nodup_peak_114_lociStitched	chr1	128141991	128142100	1	110	0.0	9.0797
1_Snai1_GM.nodup_peak_70_lociStitched	chr1	67235005	67235114	1	110	0.0	5.1666
1_Snai1_GM.nodup_peak_1249_lociStitched	chr4	151604559	151604668	1	110	1.7004	0.5668
1_Snai1_GM.nodup_peak_568_lociStitched	chr14	78179711	78179820	1	110	0.0	7.7172
1_Snai1_GM.nodup_peak_1235_lociStitched	chr4	136924672	136924781	1	110	3.6733	9.5811
1_Snai1_GM.nodup_peak_1414_lociStitched	chr6	83927569	83927677	1	109	0.0	22.5288
1_Snai1_GM.nodup_peak_751_lociStitched	chr17	16536137	16536245	1	109	0.0	8.7156
1_Snai1_GM.nodup_peak_1593_lociStitched	chr8	105693815	105693923	1	109	8.6832	9.3528
1_Snai1_GM.nodup_peak_75_lociStitched	chr1	71516877	71516985	1	109	12.5496	5.7132
1_Snai1_GM.nodup_peak_842_lociStitched	chr18	55875092	55875200	1	109	0.0	11.8692
1_Snai1_GM.nodup_peak_431_lociStitched	chr13	46966996	46967104	1	109	2.322	3.942
1_Snai1_GM.nodup_peak_1029_lociStitched	chr2	140135765	140135873	1	109	0.0	15.5412
1_Snai1_GM.nodup_peak_1535_lociStitched	chr8	10255898	10256006	1	109	0.0	15.6168
1_Snai1_GM.nodup_peak_1481_lociStitched	chr7	75329058	75329166	1	109	0.0	17.3556
1_Snai1_GM.nodup_peak_1342_lociStitched	chr5	135806829	135806937	1	109	0.0	6.7932
1_Snai1_GM.nodup_peak_669_lociStitched	chr15	78066655	78066762	1	108	0.0	6.634
1_Snai1_GM.nodup_peak_1672_lociStitched	chr9	48563650	48563757	1	108	1.5836	5.4035
1_Snai1_GM.nodup_peak_209_lociStitched	chr10	89224687	89224794	1	108	0.0	5.671
1_Snai1_GM.nodup_peak_306_lociStitched	chr11	103442696	103442803	1	108	13.4285	3.852
1_Snai1_GM.nodup_peak_534_lociStitched	chr14	55187851	55187958	1	108	0.0	11.4704
1_Snai1_GM.nodup_peak_1237_lociStitched	chr4	139059754	139059860	1	107	7.3246	11.3314
1_Snai1_GM.nodup_peak_1470_lociStitched	chr7	44770166	44770272	1	107	0.0	11.1088
1_Snai1_GM.nodup_peak_1473_lociStitched	chr7	46650396	46650502	1	107	8.5436	4.2082
1_Snai1_GM.nodup_peak_766_lociStitched	chr17	30389818	30389924	1	107	0.0	12.2536
1_Snai1_GM.nodup_peak_191_lociStitched	chr10	55814118	55814224	1	107	0.0	12.4974
1_Snai1_GM.nodup_peak_1466_lociStitched	chr7	37312793	37312899	1	107	0.0	3.5722
