CHROM	START	END	REGION_ID	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank
chr3	122613180	122622180	2_TAP_Pax7_MB_peak_24173_lociStitched	Fnbp1l		Fnbp1l	59
chr14	73504463	73513886	2_TAP_Pax7_MB_peak_11757_lociStitched	Med4	Sucla2,Nudt15	Med4	60
chr11	3846652	3859676	3_TAP_Pax7_MB_peak_5308_lociStitched	Osbp2	4921536K21Rik,Dusp18	Osbp2	62
chr5	142902073	142909970	2_Pbx1mb_peak_14468_lociStitched	Actb	Fbxl18	Actb	62
chr3	98355938	98368553	2_TAP_Pax7_MB_peak_23787_lociStitched		Zfp697,Phgdh	Zfp697	63
chr15	95370654	95380297	2_TAP_Pax7_MB_peak_14231_lociStitched	Nell2		Nell2	64
chr4	5793150	5795448	2_TAP_Pax7_MB_peak_25021_lociStitched	Fam110b		Fam110b	65
chr17	5994675	6016590	6_Pbx1mb_peak_7544_lociStitched	Synj2		Synj2	66
chr5	140600022	140611361	3_Pbx1mb_peak_14455_lociStitched	Lfng	Grifin,Ttyh3	Lfng	68
chr5	74973243	74983948	2_TAP_Pax7_MB_peak_28210_lociStitched		Gm6116	Gm6116	70
chr5	111790675	111810808	4_Pbx1mb_peak_14151_lociStitched		E130006D01Rik	E130006D01Rik	70
chr6	4413304	4432530	3_TAP_Pax7_MB_peak_29250_lociStitched			Col1a2	71
chr12	17729696	17757228	5_Pbx1mb_peak_2833_lociStitched	Hpcal1		Hpcal1	72
chr1	92376437	92387716	2_TAP_Pax7_MB_peak_1487_lociStitched			Ndufa10	74
chr7	51717877	51757571	8_TAP_Pax7_MB_peak_31784_lociStitched			Slc17a6	75
chr8	78715001	78717488	2_MyoD_MB_peak_2303_lociStitched	Slc10a7		Lsm6	75
chr13	96928438	96940057	2_MyoD_MB_peak_713_lociStitched	Gcnt4		Gcnt4	76
chr2	34363819	34374619	2_TAP_Pax7_MB_peak_20079_lociStitched	Pbx3		Pbx3	77
chr5	137061879	137080290	5_Pbx1mb_peak_14403_lociStitched	Serpine1	Ap1s1,Vgf,Trim56	Serpine1	77
chr15	75086320	75087007	2_MyoD_MB_peak_947_lociStitched		Ly6c1,Ly6c2	Ly6c2	78
chr5	144898691	144919380	4_Pbx1mb_peak_14497_lociStitched	Smurf1	Smurf1	Smurf1	78
chr9	43799673	43808780	2_TAP_Pax7_MB_peak_35457_lociStitched	Pvrl1		Pvrl1	78
chr15	101973848	101988437	3_Pbx1mb_peak_6761_lociStitched		Krt79,Krt18,Krt8,Krt4,Krt78	Krt8	79
chr11	76305735	76310278	2_MyoD_MB_peak_406_lociStitched	Nxn		Rnmtl1	81
chr17	27549398	27562361	2_Pbx1mb_peak_7793_lociStitched	Hmga1-rs1,Hmga1	Hmga1-rs1,Grm4,Hmga1,AI413582	Hmga1	81
chr1	91808923	91815283	2_TAP_Pax7_MB_peak_1479_lociStitched	Twist2		Twist2	82
chr2	3158261	3184817	4_TAP_Pax7_MB_peak_19615_lociStitched	Fam171a1		Fam171a1	83
chr14	23045544	23058137	2_TAP_Pax7_MB_peak_10852_lociStitched	Gm10248,1700112E06Rik		Gm10248	84
chr10	120616624	120652978	6_Pbx1mb_peak_2621_lociStitched			4921513I03Rik	85
chr16	18459994	18462239	2_TAP_Pax7_MB_peak_14482_lociStitched, 2_TAP_Pax3_MB_peak_445_lociStitched	Txnrd2	Comt,Gnb1l	Comt	86, 4
chr17	32164271	32170108	2_MyoD_MB_peak_1146_lociStitched	Notch3	Ephx3	Notch3	86
chr12	51875131	51885423	2_TAP_Pax7_MB_peak_7502_lociStitched	Heatr5a	Hectd1	Hectd1	87
chr7	24449307	24470685	3_Pbx1mb_peak_15778_lociStitched	Plaur	Irgc1,Smg9,Zfp428,Cadm4	Plaur	87
chr1	132288023	132293128	4_Pbx1mb_peak_831_lociStitched		Nuak2,Klhdc8a	Klhdc8a	89
chr7	134082936	134098618	3_TAP_Pax7_MB_peak_32931_lociStitched	Adam12		Adam12	89
chr3	121573824	121609276	11_Pbx1mb_peak_11990_lociStitched, 2_MyoD_MB_peak_1662_lociStitched		Slc44a3,A730020M07Rik	A730020M07Rik	90, 88
chr6	88961020	88972030	3_Pbx1mb_peak_15183_lociStitched			Tpra1	91
chr7	101752697	101762322	2_TAP_Pax7_MB_peak_32534_lociStitched	Clpb		Phox2a	91
chr4	144991213	145011534	3_TAP_Pax7_MB_peak_26992_lociStitched	Vps13d		Dhrs3	92
chr12	33243766	33254755	2_TAP_Pax7_MB_peak_7202_lociStitched	Atxn7l1	Atxn7l1	Atxn7l1	93
chr4	82510685	82514088	2_TAP_Pax7_MB_peak_26198_lociStitched		Nfib	Nfib	94
chrX	11925038	11929814	2_MyoD_MB_peak_2646_lociStitched			Bcor	94
chr16	91752711	91765065	2_TAP_Pax7_MB_peak_15944_lociStitched, 1_TAP_Pax3_MB_peak_482_lociStitched	Itsn1	Cryzl1	Itsn1	96, 17
chr15	102997956	103003043	6_Pbx1mb_peak_6806_lociStitched		Mir196a-2,Hoxc5,Hoxc6,Hoxc8,Hoxc9,Hoxc10,Hoxc4,Hoxc11,Mir615	Hoxc6	97
chr11	17254963	17265210	2_TAP_Pax7_MB_peak_5514_lociStitched	C1d	Wdr92,Pno1	C1d	98
chr15	98512809	98513333	2_MyoD_MB_peak_993_lociStitched		Lalba,Kansl2,Snora34,Olfr279,Snora2b	Snora34	100
chr8	47974289	47986162	2_TAP_Pax7_MB_peak_33788_lociStitched	Wwc2		Wwc2	100
chr15	38288960	38297954	2_TAP_Pax7_MB_peak_13269_lociStitched	Klf10		Klf10	101
chr1	91947576	91956649	2_MyoD_MB_peak_92_lociStitched	Hdac4		Twist2	102
chr10	12920078	12931858	2_TAP_Pax7_MB_peak_3237_lociStitched	B230208H11Rik	B230208H11Rik,Stx11	B230208H11Rik	102
chr8	126523067	126551527	6_Pbx1mb_peak_17796_lociStitched		Irf2bp2,Gm17296	Irf2bp2	102
chr12	84846478	84865149	5_Pbx1mb_peak_3236_lociStitched	Ltbp2	D030025P21Rik	D030025P21Rik	103
chr2	60205875	60212852	2_TAP_Pax7_MB_peak_20575_lociStitched	March7		March7	104
chr2	92740558	92751703	3_Pbx1mb_peak_10294_lociStitched			Chst1	104
chr1	176818044	176823670	4_TAP_Pax7_MB_peak_2722_lociStitched	Sdccag8	Cep170,Hmga2-ps1,Mir350	Sdccag8	106
chr14	14629261	14633172	2_TAP_Pax7_MB_peak_10691_lociStitched			Slc4a7	107
chr14	48246380	48246528	3_TAP_Pax7_MB_peak_11414_lociStitched, 1_TAP_Pax3_MB_peak_361_lociStitched	Peli2	Gm6498	Gm6498	108, 19
chr1	138507296	138515626	2_TAP_Pax7_MB_peak_2045_lociStitched, 1_TAP_Pax3_MB_peak_61_lociStitched	Nek7		Nek7	109, 13
chr7	29900681	29911643	2_TAP_Pax7_MB_peak_31568_lociStitched	Zfp27,Zfp383	Zfp940,Zfp27,Zfp420,Zfp74	Zfp27	110
chr9	21792739	21804644	2_Pbx1mb_peak_17907_lociStitched	Kank2,Dock6	Spc24,Gm6484	Kank2	111
chr11	108216442	108227728	2_TAP_Pax7_MB_peak_6668_lociStitched	Prkca		Prkca	112
chr1	106168352	106180723	2_TAP_Pax7_MB_peak_1622_lociStitched	Phlpp1,Gm20753		Phlpp1	113
chr6	88928679	88940877	5_Pbx1mb_peak_15178_lociStitched		Mcm2,Tpra1	Tpra1	114
chr8	13640612	13655223	5_Pbx1mb_peak_16593_lociStitched	Rasa3		Rasa3	115
chr2	80576131	80583878	2_TAP_Pax7_MB_peak_21034_lociStitched	Nckap1	Dusp19	Nckap1	116
chr2	167940160	167959084	3_Pbx1mb_peak_11007_lociStitched	Ptpn1		Ptpn1	116
chr16	43351284	43365649	3_TAP_Pax7_MB_peak_14892_lociStitched	Zbtb20		Gm15713	117
chr3	41201210	41213801	2_TAP_Pax7_MB_peak_22944_lociStitched			Pgrmc2	118
chr3	90574521	90587924	4_Pbx1mb_peak_11681_lociStitched		S100a14,S100a16,S100a2,S100a4,S100a5,S100a6,S100a3	S100a2	118
chr9	65196423	65201806	2_TAP_Pax7_MB_peak_35804_lociStitched, 2_Snai1_GM.nodup_peak_1685_lociStitched		Parp16	Parp16	119, 5
chr8	80030067	80040294	2_TAP_Pax7_MB_peak_34301_lociStitched	Hhip		Hhip	120
chr6	135039713	135043641	2_TAP_Pax7_MB_peak_31165_lociStitched		Gprc5a,Ddx47	Gprc5a	122
chr14	32523601	32546999	6_TAP_Pax7_MB_peak_11004_lociStitched	Ercc6		Ercc6	124
chr18	66463772	66487193	4_TAP_Pax7_MB_peak_18264_lociStitched	Pmaip1	Gm9926	Pmaip1	125
chr1	189861319	189873436	2_TAP_Pax7_MB_peak_2980_lociStitched	Ptpn14	Smyd2	Smyd2	127
chr3	88513109	88526481	3_Pbx1mb_peak_11650_lociStitched		Ubqln4,Lmna,Rab25,Mex3a,Mir1905,Lamtor2	Mex3a	127
chr2	126322741	126323399	2_TAP_Pax7_MB_peak_21713_lociStitched	Atp8b4		Atp8b4	128
chr1	93165455	93184584	4_Pbx1mb_peak_683_lociStitched		2310007B03Rik,Agxt	2310007B03Rik	132
chr14	7898604	7908829	2_TAP_Pax7_MB_peak_10561_lociStitched	Flnb		Flnb	132
chr19	53794569	53800838	2_TAP_Pax7_MB_peak_19465_lociStitched, 1_TAP_Pax3_MB_peak_596_lociStitched	Rbm20		Pdcd4	133, 16
chr9	106338805	106354065	3_Pbx1mb_peak_18766_lociStitched	Poc1a	Dusp7	Dusp7	133
chr15	102730315	102735233	2_TAP_Pax7_MB_peak_14284_lociStitched		Calcoco1	Calcoco1	134
chr17	45746862	45753045	3_Pbx1mb_peak_7983_lociStitched		1600014C23Rik	1600014C23Rik	135
chr4	141345370	141356750	2_TAP_Pax7_MB_peak_26964_lociStitched		Epha2,Clcnka,Fam131c	Fam131c	135
chr7	37320249	37323777	2_TAP_Pax7_MB_peak_31620_lociStitched			Zfp536	136
chr5	104403336	104408103	2_TAP_Pax7_MB_peak_28751_lociStitched		Spp1	Spp1	138
chr8	26972957	26981986	4_Pbx1mb_peak_16718_lociStitched	Zfp703	Erlin2	Zfp703	138
chr8	8686688	8695972	2_TAP_Pax7_MB_peak_33145_lociStitched	Arglu1	Efnb2	Arglu1	139
chr15	31184578	31189097	4_Pbx1mb_peak_5712_lociStitched		Dap	Dap	140
chr3	52391325	52401152	2_TAP_Pax7_MB_peak_23109_lociStitched			Foxo1	140
chr1	135619129	135637864	6_Pbx1mb_peak_900_lociStitched		Nav1	Nav1	141
chr10	82350823	82355920	2_TAP_Pax7_MB_peak_4456_lociStitched			Zfp938	141
chr4	9011264	9022999	2_TAP_Pax7_MB_peak_25075_lociStitched			Clvs1	142
chr7	125556246	125581366	6_Pbx1mb_peak_16360_lociStitched	Il4ra	Il21r	Il4ra	142
chr14	99624972	99632584	2_TAP_Pax7_MB_peak_12230_lociStitched			Klf5	143
chr8	93840784	93871565	5_Pbx1mb_peak_17473_lociStitched	Gnao1	4930488L21Rik	4930488L21Rik	144
chr7	132344781	132359113	3_TAP_Pax7_MB_peak_32904_lociStitched		Gm10584,Chst15	Chst15	145
chr8	94899466	94914965	4_Pbx1mb_peak_17529_lociStitched	Ccdc102a	Dok4,Polr2c,Gpr114	Ccdc102a	145
chr1	132145243	132152378	3_Pbx1mb_peak_828_lociStitched		Cdk18,Lemd1,Mir135b	Cdk18	146
chrX	143338253	143346835	2_TAP_Pax7_MB_peak_38330_lociStitched	Chrdl1		Chrdl1	146
chr1	62713075	62725385	4_Pbx1mb_peak_302_lociStitched	Nrp2	Nrp2	Nrp2	147
chr5	136559185	136578616	3_Pbx1mb_peak_14394_lociStitched	Cux1		Cux1	149
chr15	101374965	101396751	6_Pbx1mb_peak_6754_lociStitched		Krt83,Krt80,Krt7,Mir1941	Krt80	150
chr1	89680664	89714445	6_TAP_Pax7_MB_peak_1446_lociStitched	Agap1,4933400F21Rik		4933400F21Rik	151
chr2	102003424	102011830	2_TAP_Pax7_MB_peak_21268_lociStitched	Ldlrad3		Commd9	152
chr10	77225474	77229761	4_Pbx1mb_peak_2160_lociStitched, 2_MyoD_MB_peak_267_lociStitched		Pofut2,Gm10941	Gm10941	153, 53
chr2	32581558	32591245	3_Pbx1mb_peak_9898_lociStitched	Pip5kl1,St6galnac4	St6galnac6,Dpm2,Ak1,Fam102a	St6galnac4	154
chr15	76472662	76484729	2_Pbx1mb_peak_6323_lociStitched	Hsf1,Bop1	Scx,Dgat1,Scrt1	Hsf1	155
chr2	92719285	92731901	2_TAP_Pax7_MB_peak_21163_lociStitched			Chst1	155
chr6	84266518	84273304	6_Pbx1mb_peak_15106_lociStitched			Gm10445	157
chr6	114888940	114894156	3_Pbx1mb_peak_15387_lociStitched, 2_MyoD_MB_peak_2089_lociStitched	Vgll4		Vgll4	158, 26
chr8	91376561	91382055	2_TAP_Pax7_MB_peak_34466_lociStitched	Fto		Fto	158
chr6	88942426	88953501	3_TAP_Pax7_MB_peak_30568_lociStitched		Mcm2,Tpra1	Tpra1	159
chr6	124474475	124487822	3_Pbx1mb_peak_15489_lociStitched		C1rl,C1ra,Clstn3	C1rl	159
chr6	99160148	99190376	4_TAP_Pax7_MB_peak_30724_lociStitched	Foxp1		Foxp1	160
chr14	120339816	120355776	3_TAP_Pax7_MB_peak_12563_lociStitched	Mbnl2		Mbnl2	162
chr8	25068073	25075060	3_Pbx1mb_peak_16675_lociStitched	Plekha2	Htra4	Plekha2	162
chr16	34090827	34100920	2_TAP_Pax7_MB_peak_14729_lociStitched	Kalrn		Umps	163
chr8	121187662	121197283	4_Pbx1mb_peak_17721_lociStitched			Foxl1	163
chr6	37397002	37408167	2_TAP_Pax7_MB_peak_29879_lociStitched	Creb3l2		Creb3l2	165
chr15	88928011	88951583	4_TAP_Pax7_MB_peak_14124_lociStitched	Ttll8	Mov10l1,Mlc1	Ttll8	166
chr17	87202556	87207359	2_Pbx1mb_peak_8391_lociStitched		C330024C12Rik	C330024C12Rik	166
chr18	6024599	6034783	2_TAP_Pax7_MB_peak_17302_lociStitched	Arhgap12		Arhgap12	168
chr4_GL456216_random	49087	49400	1_TAP_Pax7_MB_peak_27131_lociStitched, 1_TAP_Pax3_MB_peak_812_lociStitched		Dhrsx	Dhrsx	169, 6
chr17	26503020	26514979	2_Pbx1mb_peak_7770_lociStitched	Dusp1	Ergic1	Dusp1	170
chr8	31991303	32001884	2_TAP_Pax7_MB_peak_33502_lociStitched			Nrg1	170
chr9	23475373	23487555	2_TAP_Pax7_MB_peak_35160_lociStitched	Bmper		Bmper	171
chr13	55470460	55482831	2_Pbx1mb_peak_4123_lociStitched	Prr7,Dbn1	F12,Grk6,Dok3,Dbn1,Pdlim7	Dbn1	172
chr14	121586159	121591943	4_TAP_Pax7_MB_peak_12595_lociStitched	Dock9		Slc15a1	172
chr3	61355528	61367199	2_Pbx1mb_peak_11496_lociStitched	Rap2b		Rap2b	173
chr17	87849067	87863015	4_Pbx1mb_peak_8402_lociStitched			Kcnk12	174
chr9	75179395	75196512	3_TAP_Pax7_MB_peak_35975_lociStitched	Myo5a	Myo5c	Myo5c	174
chr4	48467049	48478612	2_TAP_Pax7_MB_peak_25689_lociStitched	Tex10		Tex10	175
chr8	87489948	87511547	7_Pbx1mb_peak_17356_lociStitched	Gm2694	Cbln1	Gm2694	175
chr9	23154121	23168151	3_TAP_Pax7_MB_peak_35146_lociStitched			Bmper	176
chr8	71579129	71580649	2_Pbx1mb_peak_17039_lociStitched	Slc27a1	Mvb12a,Pgls,Nxnl1,Tmem221,Bst2,Fam129c,Glt25d1	Slc27a1	178
chr9	47635194	47650486	4_TAP_Pax7_MB_peak_35508_lociStitched	Cadm1		Cadm1	178
chr17	63799085	63806439	2_TAP_Pax7_MB_peak_16766_lociStitched			Fert2	179
chr11	63782350	63790007	4_TAP_Pax7_MB_peak_6160_lociStitched			Hs3st3b1	180
chr14	24199744	24213822	3_Pbx1mb_peak_4826_lociStitched	Dlg5	Dlg5	Dlg5	180
chr2	104147754	104155439	2_TAP_Pax7_MB_peak_21302_lociStitched	D430041D05Rik	A930018P22Rik	A930018P22Rik	181
chr8	88650221	88653541	2_Pbx1mb_peak_17391_lociStitched	Nod2	Snx20,Cyld	Nod2	181
chr9	78295162	78301891	2_TAP_Pax7_MB_peak_36047_lociStitched	Gm10639	Omt2a,Gm3776,Gsta2,Omt2b	Gm10639	183
chr17	26605647	26615028	2_Pbx1mb_peak_7774_lociStitched	Ergic1		Ergic1	184
chr6	72706155	72714336	3_TAP_Pax7_MB_peak_30347_lociStitched	Tcf7l1		Tcf7l1	186
chr3	58569702	58592977	3_TAP_Pax7_MB_peak_23230_lociStitched	2810407C02Rik	Eif2a,Serp1,Fam194a	2810407C02Rik	187
chr13	52651870	52659776	3_Pbx1mb_peak_4089_lociStitched			Syk	188
chr14	57417431	57430293	2_TAP_Pax7_MB_peak_11498_lociStitched	Ift88	Cryl1	Ift88	188
chr18	61047698	61058709	5_Pbx1mb_peak_8798_lociStitched	Pdgfrb	Pdgfrb,Csf1r,Slc6a7,Cdx1	Pdgfrb	189
chr16	32924140	32957923	6_TAP_Pax7_MB_peak_14710_lociStitched	Lrch3	Fyttd1	Lrch3	190
chr4	152260423	152268378	2_Pbx1mb_peak_13482_lociStitched	Acot7	Gpr153,Hes3,Icmt	Gpr153	190
chr10	116998214	117010394	2_TAP_Pax7_MB_peak_5101_lociStitched	Best3	4933412E12Rik,D630029K05Rik,Lrrc10,Rab3ip	Best3	191
chr10	117021105	117034064	3_Pbx1mb_peak_2565_lociStitched	Best3	Lrrc10,Cct2	Lrrc10	191
chr1	36303529	36326257	3_Pbx1mb_peak_105_lociStitched	Arid5a	Arid5a,Neurl3,Fer1l5,Kansl3	Arid5a	192
chr14	45506321	45515646	2_TAP_Pax7_MB_peak_11346_lociStitched	Fermt2	4930527F14Rik	Fermt2	192
chr10	12858196	12878894	3_Pbx1mb_peak_1614_lociStitched	Utrn	B230208H11Rik	Utrn	193
chr5	53455033	53462549	2_TAP_Pax7_MB_peak_27928_lociStitched			Rbpj	194
chrX	170731658	170745360	5_Pbx1mb_peak_19297_lociStitched			Asmt	195
chr3	107737772	107747931	2_Pbx1mb_peak_11908_lociStitched, 2_TAP_Pax7_MB_peak_23916_lociStitched	Csf1	Ahcyl1	Csf1	196, 2
chr15	52705654	52726560	4_TAP_Pax7_MB_peak_13594_lociStitched	Med30		Med30	197
chr5	93085079	93105808	4_Pbx1mb_peak_14026_lociStitched	Sept11	Sowahb	Sept11	197
chr12	76015042	76026147	3_TAP_Pax7_MB_peak_7906_lociStitched	Syne2		Mir5101	199
chr5	118449332	118465573	3_Pbx1mb_peak_14229_lociStitched			Med13l	199
chr7	24387358	24395117	4_Pbx1mb_peak_15774_lociStitched		Kcnn4,Lypd5,Smg9	Smg9	201
chr11	106574596	106583316	2_TAP_Pax7_MB_peak_6647_lociStitched	Tex2		Tex2	202
chr17	87170335	87176355	4_Pbx1mb_peak_8389_lociStitched		C330024C12Rik	C330024C12Rik	202
chr16	90882411	90893313	3_Pbx1mb_peak_7404_lociStitched	Eva1c	1110004E09Rik	1110004E09Rik	203
chr8	118349208	118350139	2_TAP_Pax7_MB_peak_34818_lociStitched	Cdh13		Cdh13	203
chr6	15789332	15797631	2_TAP_Pax7_MB_peak_29467_lociStitched	Mdfic		Mdfic	206
chr1	132122072	132131206	2_Pbx1mb_peak_826_lociStitched	Cdk18		Cdk18	207
chr13	52902409	52910371	3_TAP_Pax7_MB_peak_9441_lociStitched	Auh		Auh	208
chr16	20137425	20149647	2_TAP_Pax7_MB_peak_14500_lociStitched	Yeats2	Klhl24	Yeats2	209
chr2	27316486	27328889	4_Pbx1mb_peak_9810_lociStitched	Vav2		Sardh	209
chr12	84879671	84885358	4_Pbx1mb_peak_3242_lociStitched	D030025P21Rik	Ltbp2	Ltbp2	210
chr19	55635463	55647955	2_TAP_Pax7_MB_peak_19501_lociStitched	4930552P12Rik		4930552P12Rik	211
chr9	32700463	32716724	4_Pbx1mb_peak_17991_lociStitched	Ets1	Ets1	Ets1	211
chr1	193519615	193528675	2_TAP_Pax7_MB_peak_3026_lociStitched		Mir205	Mir205	212
chr17	45209001	45248072	7_Pbx1mb_peak_7968_lociStitched, 4_TAP_Pax7_MB_peak_16527_lociStitched			Cdc5l	212, 41
