CHROM	START	END	REGION_ID	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank
chr4	118030065	118056315	11_Myog_60hr_MT_peak_28241_lociStitched, 4_MyoD_2d_MT_peak_10898_lociStitched	St3gal3		St3gal3	62, 258
chrX	19157567	19168416	5_Pbx1mt_peak_19036_lociStitched		Mir221,Mir222	Mir222	62
chr4	88950360	88959085	5_Pbx1mt_peak_11621_lociStitched		Mir31	Mir31	64
chr13	99433705	99447723	9_Myog_60hr_MT_peak_11635_lociStitched, 3_MyoD_2d_MT_peak_4563_lociStitched	Map1b	6430562O15Rik	6430562O15Rik	67, 214
chr15	63036047	63087150	11_Pbx1mt_peak_6043_lociStitched			Gm20740	67
chr17	9817215	9824364	3_MyoD_2d_MT_peak_6725_lociStitched		4930452A19Rik	4930452A19Rik	67
chr8	118137945	118162603	4_Pbx1mt_peak_18006_lociStitched, 4_MyoD_2d_MT_peak_14545_lociStitched			Cdh13	71, 102
chr11	94908174	94929201	4_MyoD_2d_MT_peak_2796_lociStitched, 3_Myog_60hr_MT_peak_7013_lociStitched		Hils1,Col1a1,Sgca	Col1a1	76, 423
chr13	5837229	5845908	4_Pbx1mt_peak_3308_lociStitched		Klf6,1700016G22Rik	1700016G22Rik	79
chr13	104460358	104468262	2_Pbx1mt_peak_4298_lociStitched	Adamts6		Adamts6	81
chr3	81909392	81918418	6_MyoD_2d_MT_peak_9840_lociStitched, 3_Myog_60hr_MT_peak_25682_lociStitched		Ctso	Ctso	85, 513
chr10	94520403	94561638	14_Myog_60hr_MT_peak_4557_lociStitched, 2_Pbx1mt_peak_2299_lociStitched	Tmcc3	Tmcc3	Tmcc3	86, 258
chr13	99304521	99324302	4_MyoD_2d_MT_peak_4556_lociStitched	Ptcd2	Mrps27	Ptcd2	86
chr1	50962434	50981700	5_Pbx1mt_peak_263_lociStitched	Tmeff2		Tmeff2	88
chr15	6559337	6574878	3_Pbx1mt_peak_5130_lociStitched		Fyb	Fyb	89
chr5	125106270	125189929	27_Myog_60hr_MT_peak_31576_lociStitched	Ncor2		Ncor2	89
chr17	6161081	6179823	5_Pbx1mt_peak_7071_lociStitched, 3_Myog_60hr_MT_peak_17053_lociStitched	Tulp4		Tulp4	90, 516
chr8	126666384	126736477	11_Myog_60hr_MT_peak_39723_lociStitched	Mir3110		Irf2bp2	90
chr15	63397563	63434667	8_Pbx1mt_peak_6064_lociStitched	Gm20740		Gm20740	96
chr5	32132984	32141359	4_Myog_60hr_MT_peak_30111_lociStitched	Fosl2		Fosl2	96
chr16	57412849	57432751	6_Myog_60hr_MT_peak_16593_lociStitched, 5_MyoD_2d_MT_peak_6453_lociStitched	Filip1l,Cmss1		Filip1l	98, 57
chr2	91370386	91411791	5_MyoD_2d_MT_peak_8857_lociStitched, 3_Pbx1mt_peak_9219_lociStitched	1110051M20Rik	Lrp4	1110051M20Rik	98, 386
chr11	98766921	98786816	6_Myog_60hr_MT_peak_7222_lociStitched	Nr1d1	Thra,Rapgefl1,Msl1,Gm12359,Med24,Casc3	Nr1d1	104
chr15	62468059	62501843	8_Pbx1mt_peak_6007_lociStitched			H2afy3	104
chr13	49470854	49493066	5_MyoD_2d_MT_peak_4231_lociStitched, 6_Pbx1mt_peak_3832_lociStitched	Cenpp	Ippk,Ecm2	Ecm2	108, 74
chr15	99420485	99450224	12_Myog_60hr_MT_peak_15388_lociStitched, 4_MyoD_2d_MT_peak_5996_lociStitched	Nckap5l	Bcdin3d,Tmbim6	Nckap5l	108, 393
chr17	82900626	82905753	4_Pbx1mt_peak_7587_lociStitched, 3_MyoD_2d_MT_peak_7276_lociStitched			Gm19689	110, 193
chr7	89527088	89541193	4_Pbx1mt_peak_14709_lociStitched		Prss23	Prss23	113
chr12	79504192	79512025	4_Pbx1mt_peak_2958_lociStitched, 2_MyoD_2d_MT_peak_3574_lociStitched	Rad51b		Rad51b	114, 590
chr15	81294405	81295251	3_MyoD_2d_MT_peak_5852_lociStitched, 2_Pbx1mt_peak_6276_lociStitched		8430426J06Rik	8430426J06Rik	114, 452
chr17	31970995	31992349	4_Myog_60hr_MT_peak_17991_lociStitched, 2_Pbx1mt_peak_7248_lociStitched	Hsf2bp	Rrp1b	Hsf2bp	114, 73
chr15	55835616	55862115	8_Pbx1mt_peak_5833_lociStitched, 3_MyoD_2d_MT_peak_5572_lociStitched	Sntb1		Sntb1	119, 541
chr6	41015191	41033124	3_Pbx1mt_peak_13864_lociStitched, 2_MyoD_2d_MT_peak_12352_lociStitched	2210010C04Rik	Gm2663	2210010C04Rik	120, 279
chr1	71807767	71824683	3_Pbx1mt_peak_491_lociStitched			Gm8883	121
chr11	105542285	105572326	4_MyoD_2d_MT_peak_2975_lociStitched		Tanc2	Tanc2	121
chr15	23561571	23565436	2_Pbx1mt_peak_5275_lociStitched			Cdh18	122
chr3	60515466	60541428	6_Pbx1mt_peak_10277_lociStitched	Mbnl1		Mbnl1	123
chr4	89123958	89129877	2_Pbx1mt_peak_11634_lociStitched		Mtap	Mtap	130
chr15	7862912	7878014	3_Pbx1mt_peak_5165_lociStitched	Wdr70		Gdnf	132
chr2	91041899	91062334	11_Myog_60hr_MT_peak_23207_lociStitched, 5_MyoD_2d_MT_peak_8842_lociStitched	Rapsn,Slc39a13,Psmc3	Sfpi1	Psmc3	133, 564
chr2	148421155	148429362	4_Pbx1mt_peak_9686_lociStitched		Sstr4,Thbd,Cd93	Thbd	135
chr4	59218250	59231541	3_Myog_60hr_MT_peak_27585_lociStitched	Ugcg		Ugcg	136
chr11	57683195	57722100	6_MyoD_2d_MT_peak_2427_lociStitched, 8_Myog_60hr_MT_peak_5847_lociStitched	Galnt10		Galnt10	137, 220
chr10	107606471	107628488	3_Pbx1mt_peak_2429_lociStitched	Ptprq		Ptprq	139
chr11	88132194	88187709	15_Myog_60hr_MT_peak_6859_lociStitched, 6_MyoD_2d_MT_peak_2747_lociStitched	Cuedc1	Mrps23,2210416O15Rik	Cuedc1	139, 91
chr12	70512029	70522003	2_Pbx1mt_peak_2849_lociStitched	Mir4660		Tmx1	140
chr2	167755046	167777564	9_Myog_60hr_MT_peak_24729_lociStitched			A530013C23Rik	145
chr14	31078898	31088736	3_Pbx1mt_peak_4613_lociStitched	Pbrm1	Nt5dc2,Smim4	Smim4	146
chr5	23410738	23416132	3_MyoD_2d_MT_peak_11386_lociStitched, 2_Pbx1mt_peak_13016_lociStitched		Mll5,5031425E22Rik	5031425E22Rik	146, 280
chr1	89536057	89555212	11_Myog_60hr_MT_peak_1085_lociStitched, 4_MyoD_2d_MT_peak_477_lociStitched	Agap1		Agap1	147, 220
chr3	79927113	79948035	5_Pbx1mt_peak_10365_lociStitched, 2_MyoD_2d_MT_peak_9822_lociStitched	Fam198b		Fam198b	148, 455
chr19	32291952	32319896	8_Myog_60hr_MT_peak_21071_lociStitched, 3_Pbx1mt_peak_8453_lociStitched	Sgms1		Sgms1	149, 470
chr4	63530480	63554539	5_Pbx1mt_peak_11400_lociStitched	Atp6v1g1	Gm11213,6330416G13Rik,Whrn	Atp6v1g1	150
chr1	86434428	86448588	4_MyoD_2d_MT_peak_427_lociStitched, 7_Myog_60hr_MT_peak_950_lociStitched		1700019O17Rik,Nmur1	1700019O17Rik	151, 215
chr4	15205691	15214919	2_Pbx1mt_peak_11129_lociStitched, 3_Myog_60hr_MT_peak_27038_lociStitched			Tmem64	151, 476
chr2	128454605	128470690	3_Myog_60hr_MT_peak_23822_lociStitched		Gm14005	Gm14005	152
chr7	80767126	80799504	6_Myog_60hr_MT_peak_35777_lociStitched	Iqgap1		Iqgap1	154
chr2	125293907	125304268	2_Pbx1mt_peak_9508_lociStitched	Fbn1	Dut	Dut	155
chr10	23548323	23580486	6_MyoD_2d_MT_peak_1370_lociStitched			Eya4	156
chr13	97915671	97948139	2_Pbx1mt_peak_4183_lociStitched, 4_Myog_60hr_MT_peak_11562_lociStitched	Arhgef28		Arhgef28	160, 467
chr14	72738221	72744144	4_Pbx1mt_peak_4857_lociStitched, 2_MyoD_2d_MT_peak_5131_lociStitched		Fndc3a	Fndc3a	163, 419
chr2	30708209	30716739	8_Myog_60hr_MT_peak_22318_lociStitched, 3_MyoD_2d_MT_peak_8517_lociStitched		Mir3089	Mir3089	163, 247
chr11	77615163	77624656	2_MyoD_2d_MT_peak_2650_lociStitched, 3_Myog_60hr_MT_peak_6547_lociStitched		Taok1	Taok1	164, 392
chr13	51833654	51858755	7_Myog_60hr_MT_peak_10923_lociStitched	Gadd45g	Sema4d	Gadd45g	164
chrX	68486664	68508052	5_Pbx1mt_peak_19211_lociStitched, 5_MyoD_2d_MT_peak_15836_lociStitched			Gm10474	164, 243
chr15	42674154	42680482	2_Pbx1mt_peak_5628_lociStitched	Angpt1		Angpt1	166
chr1	12612175	12623512	2_MyoD_2d_MT_peak_20_lociStitched		Gm17644	Gm17644	168
chr15	23506502	23509960	2_Pbx1mt_peak_5273_lociStitched, 2_MyoD_2d_MT_peak_5379_lociStitched			Cdh18	169, 388
chr17	26645578	26659174	7_Myog_60hr_MT_peak_17628_lociStitched, 3_MyoD_2d_MT_peak_6863_lociStitched	Ergic1	Atp6v0e	Atp6v0e	169, 338
chr3	60582289	60603040	4_Pbx1mt_peak_10283_lociStitched	Mbnl1		Mbnl1	170
chr15	78436799	78450302	7_Myog_60hr_MT_peak_14542_lociStitched, 3_MyoD_2d_MT_peak_5795_lociStitched	Kctd17,Tmprss6	Mpst,Tex33,Tst,Il2rb	Kctd17	171, 197
chr17	53587159	53596768	2_Pbx1mt_peak_7355_lociStitched, 3_Myog_60hr_MT_peak_18452_lociStitched	Kat2b	Pp2d1	Kat2b	171, 523
chr14	120296517	120308342	3_MyoD_2d_MT_peak_5280_lociStitched	Mbnl2	Mbnl2	Mbnl2	173
chr15	55786315	55806810	7_Pbx1mt_peak_5825_lociStitched	Sntb1		Sntb1	175
chr1	138322614	138348763	5_Pbx1mt_peak_905_lociStitched		Atp6v1g3	Atp6v1g3	176
chr6	30680567	30690401	4_MyoD_2d_MT_peak_12298_lociStitched	Tsga14	Cpa1,Mest	Tsga14	176
chr4	58402167	58428531	5_Pbx1mt_peak_11352_lociStitched		Mir3095	Mir3095	178
chr10	7260202	7280746	4_Pbx1mt_peak_1539_lociStitched		Cnksr3	Cnksr3	180
chr15	34393801	34412811	4_MyoD_2d_MT_peak_5462_lociStitched, 5_Myog_60hr_MT_peak_13640_lociStitched	Matn2	9430069I07Rik,Rpl30,Gm12191,BC030476	Rpl30	180, 656
chr5	151110417	151113189	2_Pbx1mt_peak_13637_lociStitched	Stard13		Stard13	181
chr2	102978159	102998551	4_Pbx1mt_peak_9265_lociStitched			Pdhx	183
chr4	99158692	99181277	2_MyoD_2d_MT_peak_10801_lociStitched, 3_Pbx1mt_peak_11695_lociStitched		Atg4c,Dock7	Atg4c	183, 80
chr13	41511073	41555662	6_Pbx1mt_peak_3754_lociStitched		Nedd9	Nedd9	186
chr15	52753474	52769711	3_Pbx1mt_peak_5710_lociStitched		Med30	Med30	187
chr3	14782272	14787455	3_Pbx1mt_peak_9925_lociStitched, 2_Myog_60hr_MT_peak_25062_lociStitched	Car1	Car1	Car1	188, 983
chr13	6190467	6194469	4_Pbx1mt_peak_3322_lociStitched			Klf6	189
chr3	83437439	83451571	3_MyoD_2d_MT_peak_9854_lociStitched, 4_Pbx1mt_peak_10398_lociStitched			1700028M03Rik	190, 157
chr15	58895803	58918505	4_Pbx1mt_peak_5931_lociStitched	Rnf139,Tatdn1	Trmt12,Ndufb9	Rnf139	191
chr15	62287207	62301388	3_Pbx1mt_peak_5989_lociStitched			H2afy3	193
chr15	82130628	82164208	9_Myog_60hr_MT_peak_14820_lociStitched	Ccdc134,Srebf2	Mir33,AI848285	Srebf2	195
chr16	92997683	93006978	3_Pbx1mt_peak_7011_lociStitched			Runx1	195
chr3	21760586	21772056	4_Pbx1mt_peak_9982_lociStitched, 2_MyoD_2d_MT_peak_9567_lociStitched			Tbl1xr1	196, 495
chr6	108528067	108537392	5_Myog_60hr_MT_peak_33583_lociStitched, 2_MyoD_2d_MT_peak_12756_lociStitched	Itpr1		0610040F04Rik	196, 90
chr3	60402193	60409623	4_Pbx1mt_peak_10271_lociStitched, 3_MyoD_2d_MT_peak_9761_lociStitched			Mbnl1	200, 387
chr19	46460120	46490818	11_Myog_60hr_MT_peak_21364_lociStitched, 2_MyoD_2d_MT_peak_8169_lociStitched	Sufu	Trim8	Trim8	201, 259
chr10	93166452	93182127	3_Pbx1mt_peak_2271_lociStitched	Cdk17	Mir1931	Mir1931	204
chr3	92235743	92257197	8_Pbx1mt_peak_10465_lociStitched	Sprr2a2		Sprr2a2	205
chrX	103604725	103617427	5_Pbx1mt_peak_19414_lociStitched	Ftx	Mir374c,Mir374,Zcchc13	Ftx	209
chr12	73025568	73040073	3_Pbx1mt_peak_2876_lociStitched, 2_Myog_60hr_MT_peak_9083_lociStitched		Six1	Six1	211, 647
chr1	119108653	119125843	5_Myog_60hr_MT_peak_1416_lociStitched, 2_MyoD_2d_MT_peak_603_lociStitched			Gli2	212, 399
chr15	64470734	64474564	3_Pbx1mt_peak_6100_lociStitched, 2_MyoD_2d_MT_peak_5676_lociStitched			Asap1	215, 333
chr1	163275108	163292278	6_Pbx1mt_peak_1158_lociStitched	Prrx1		Prrx1	217
chr15	55255807	55265772	2_Pbx1mt_peak_5790_lociStitched, 2_Myog_60hr_MT_peak_13878_lociStitched		Col14a1	Col14a1	218, 653
chr1	135524194	135568388	10_Myog_60hr_MT_peak_1779_lociStitched, 3_MyoD_2d_MT_peak_761_lociStitched	Nav1		Nav1	219, 619
chr3	92270499	92291848	9_Pbx1mt_peak_10477_lociStitched		Sprr2b,Sprr2d	Sprr2b	219
chr10	21601729	21636265	5_Pbx1mt_peak_1676_lociStitched, 4_MyoD_2d_MT_peak_1350_lociStitched	1700020N01Rik		1700020N01Rik	220, 410
chr5	17739909	17747514	3_MyoD_2d_MT_peak_11354_lociStitched, 2_Pbx1mt_peak_12980_lociStitched		Mir5109	Mir5109	221, 165
chr7	142548250	142572902	7_Myog_60hr_MT_peak_37137_lociStitched	Nctc1	H19,Tnnt3,Gm14492,Mir675,Mrpl23	Nctc1	222
chr12	90913774	90971415	17_Pbx1mt_peak_3103_lociStitched			5430427M07Rik	224
chr12	73223903	73242199	3_Pbx1mt_peak_2886_lociStitched	Mnat1	Slc38a6,Trmt5	Trmt5	227
chr2	121575727	121594941	3_MyoD_2d_MT_peak_9077_lociStitched	Frmd5		Wdr76	227
chr18	67368959	67408766	14_Myog_60hr_MT_peak_20049_lociStitched	Afg3l2,Tubb6	Cidea,B430212C06Rik	Tubb6	228
chr15	56841592	56844807	3_Pbx1mt_peak_5873_lociStitched			Has2	229
chr3	14820232	14840069	4_Pbx1mt_peak_9929_lociStitched		Car1,Car3,Car2	Car1	232
chr1	40272288	40290733	7_Myog_60hr_MT_peak_336_lociStitched	Il1r1	Il1rl2	Il1r1	233
chr2	38936740	38956440	5_MyoD_2d_MT_peak_8616_lociStitched, 4_Myog_60hr_MT_peak_22700_lociStitched	Olfml2a	Wdr38,Nr6a1,Rpl35	Olfml2a	234, 662
chr16	55631177	55637039	4_Pbx1mt_peak_6849_lociStitched			Nfkbiz	235
chr19	46216849	46225818	4_Pbx1mt_peak_8564_lociStitched, 3_MyoD_2d_MT_peak_8162_lociStitched	Gbf1		Gbf1	236, 624
chr7	72584503	72591054	2_Pbx1mt_peak_14596_lociStitched			Mctp2	239
chr1	88466420	88475770	3_MyoD_2d_MT_peak_450_lociStitched		Glrp1	Glrp1	240
chr1	155201110	155240164	10_Myog_60hr_MT_peak_2025_lociStitched, 6_MyoD_2d_MT_peak_890_lociStitched	Stx6		Stx6	240, 436
chr2	148371861	148398137	5_Pbx1mt_peak_9682_lociStitched	Sstr4	Thbd,Cd93	Sstr4	240
chr10	93932897	93953897	5_Pbx1mt_peak_2292_lociStitched, 5_MyoD_2d_MT_peak_1907_lociStitched		Metap2,Mir331	Mir331	241, 216
chr13	113729583	113734340	3_Pbx1mt_peak_4413_lociStitched			Arl15	242
chr10	16497697	16508506	2_Pbx1mt_peak_1603_lociStitched			Gm20125	244
chr15	41612299	41613948	3_Pbx1mt_peak_5590_lociStitched, 2_MyoD_2d_MT_peak_5511_lociStitched	Oxr1		Oxr1	245, 424
chr15	33924077	33935708	4_Pbx1mt_peak_5470_lociStitched			Mtdh	246
chr15	62106710	62140145	5_Myog_60hr_MT_peak_14068_lociStitched	Pvt1		Pvt1	248
chr4	81926653	81940491	7_Pbx1mt_peak_11510_lociStitched			Gm5860	248
chr13	34696842	34715709	4_Pbx1mt_peak_3684_lociStitched		Fam50b,Pxdc1	Fam50b	249
chr1	164620241	164631962	4_Pbx1mt_peak_1179_lociStitched			Atp1b1	251
chr2	32894152	32947823	13_Myog_60hr_MT_peak_22511_lociStitched	Fam129b,Lrsam1	Stxbp1,Snora65,Slc2a8,Rpl12	Lrsam1	251
chr1	145957796	145972541	4_Pbx1mt_peak_958_lociStitched			Fam5c	252
chr15	7105099	7136318	7_Pbx1mt_peak_5152_lociStitched, 4_MyoD_2d_MT_peak_5339_lociStitched	Lifr	Lifr	Lifr	255, 174
chr7	90302268	90320424	5_Myog_60hr_MT_peak_35957_lociStitched		Ccdc83,Sytl2	Sytl2	259
chr15	67260758	67275397	3_Pbx1mt_peak_6152_lociStitched	1700012I11Rik		1700012I11Rik	260
chr1	151228472	151237984	4_Pbx1mt_peak_995_lociStitched, 2_MyoD_2d_MT_peak_848_lociStitched			C730036E19Rik	263, 383
chr11	74992658	75014402	4_MyoD_2d_MT_peak_2599_lociStitched	Smg6		Smg6	264
chr12	34990138	35000594	2_Pbx1mt_peak_2732_lociStitched		Prps1l1,Snx13	Prps1l1	264
chr1	14001517	14011816	4_Pbx1mt_peak_41_lociStitched			Gm5523	265
chr10	23191465	23204271	5_Pbx1mt_peak_1701_lociStitched	Eya4		Eya4	267
chr17	84573325	84585514	2_Myog_60hr_MT_peak_18981_lociStitched, 4_MyoD_2d_MT_peak_7305_lociStitched	Plekhh2	Dync2li1	Dync2li1	268, 122
chr14	20595940	20622242	6_Pbx1mt_peak_4528_lociStitched	Usp54	1810062O18Rik,Myoz1,Ppp3cb,Synpo2l	Usp54	269
chr19	44266905	44284924	5_Myog_60hr_MT_peak_21279_lociStitched		Scd4,Mir5114,Scd2	Scd2	270
chr12	70614183	70616842	2_MyoD_2d_MT_peak_3494_lociStitched, 3_Pbx1mt_peak_2852_lociStitched	Mir4660		Tmx1	272, 284
chr18	16688702	16713872	4_Pbx1mt_peak_7737_lociStitched	Cdh2		Cdh2	272
chr11	118322023	118350204	12_Myog_60hr_MT_peak_8204_lociStitched	BC100451,Timp2	Usp36	BC100451	273
chr15	34369381	34373532	3_Pbx1mt_peak_5487_lociStitched	Matn2	9430069I07Rik	9430069I07Rik	273
chr15	66776279	66790221	3_Pbx1mt_peak_6132_lociStitched	Sla,Tg		Sla	274
chr2	125922874	125934347	3_Pbx1mt_peak_9519_lociStitched	Galk2		Galk2	275
chr3	83287085	83300591	5_Pbx1mt_peak_10393_lociStitched			Plrg1	277
chr2	103576405	103583667	3_Pbx1mt_peak_9277_lociStitched	Abtb2		Abtb2	279
chr15	55227208	55236731	2_Pbx1mt_peak_5789_lociStitched	Deptor		Col14a1	282
chr19	12473118	12493714	3_MyoD_2d_MT_peak_7976_lociStitched, 4_Myog_60hr_MT_peak_20852_lociStitched	Dtx4	Pfpl,Mpeg1	Dtx4	286, 757
chr8	60764104	60774043	2_Pbx1mt_peak_15736_lociStitched			Mfap3l	286
chr2	117950941	117959840	3_Pbx1mt_peak_9454_lociStitched			4930412B13Rik	287
chr3	95054501	95066793	4_Myog_60hr_MT_peak_25981_lociStitched	Pip5k1a	Zfp687,Vps72,Psmd4	Psmd4	287
chr2	173413947	173435358	5_Myog_60hr_MT_peak_24846_lociStitched, 5_MyoD_2d_MT_peak_9482_lociStitched			1700021F07Rik	288, 130
chr6	4488423	4496706	3_MyoD_2d_MT_peak_12212_lociStitched		Col1a2	Col1a2	288
chr8	60859651	60868005	3_Pbx1mt_peak_15739_lociStitched		2700029M09Rik	2700029M09Rik	288
chr19	36218832	36238058	4_Pbx1mt_peak_8495_lociStitched			Ankrd1	289
chr4	95861058	95886817	5_Pbx1mt_peak_11682_lociStitched	Fggy		9530080O11Rik	290
chr3	88624361	88632310	7_Myog_60hr_MT_peak_25852_lociStitched, 3_MyoD_2d_MT_peak_9902_lociStitched	Arhgef2	Rxfp4,Ssr2,Arhgef2	Arhgef2	292, 202
chr1	43124830	43147789	5_Myog_60hr_MT_peak_365_lociStitched, 4_MyoD_2d_MT_peak_147_lociStitched	Fhl2	AI597479,Tgfbrap1	Fhl2	293, 103
chr12	80830193	80858552	7_Pbx1mt_peak_2985_lociStitched	4933426M11Rik		4933426M11Rik	293
chr14	46512296	46529607	3_Pbx1mt_peak_4694_lociStitched		Rubie	Rubie	294
chr11	53794635	53803439	5_Myog_60hr_MT_peak_5757_lociStitched	Gm12216	Irf1	Irf1	295
chr9	69431991	69443473	3_Pbx1mt_peak_18529_lociStitched	Narg2	Anxa2,Mir3109	Anxa2	295
chr11	3508323	3548865	13_Myog_60hr_MT_peak_5040_lociStitched	Selm,Smtn	Pla2g3,Mir3470a,Inpp5j	Smtn	297
chr4	64635668	64641247	2_Pbx1mt_peak_11433_lociStitched			Pappa	297
chr1	81950366	81987671	7_Pbx1mt_peak_615_lociStitched			Irs1	300
chr11	103049747	103067958	8_Myog_60hr_MT_peak_7537_lociStitched	Nmt1	Hexim1,Plcd3,Acbd4,Dcakd	Nmt1	301
chr11	104611693	104624959	3_MyoD_2d_MT_peak_2962_lociStitched, 3_Myog_60hr_MT_peak_7633_lociStitched	Itgb3		Itgb3	301, 643
chr3	68676870	68693968	4_Myog_60hr_MT_peak_25639_lociStitched, 4_MyoD_2d_MT_peak_9802_lociStitched	Il12a		Il12a	302, 135
chr5	102665028	102692777	4_Pbx1mt_peak_13404_lociStitched	Arhgap24		Arhgap24	303
chr7	110702358	110709989	3_MyoD_2d_MT_peak_13589_lociStitched			Ampd3	303
chr16	43456474	43471363	7_Pbx1mt_peak_6749_lociStitched	Zbtb20	Gm15713	Gm15713	304
chr7	113146207	113154453	3_MyoD_2d_MT_peak_13636_lociStitched		4930543E12Rik	4930543E12Rik	304
chr16	17733021	17740338	2_MyoD_2d_MT_peak_6154_lociStitched		Klhl22,Med15	Med15	305
chr4	83830943	83839356	3_Pbx1mt_peak_11564_lociStitched, 4_Myog_60hr_MT_peak_27784_lociStitched	Ccdc171		Ccdc171	305, 833
chr6	94636882	94660399	6_Myog_60hr_MT_peak_33415_lociStitched, 4_MyoD_2d_MT_peak_12679_lociStitched	Lrig1		Lrig1	305, 181
chr5	90703761	90711767	2_Pbx1mt_peak_13319_lociStitched, 3_MyoD_2d_MT_peak_11689_lociStitched		Cxcl5	Cxcl5	306, 426
chr9	120001989	120027795	5_Myog_60hr_MT_peak_41774_lociStitched	Xirp1	Cx3cr1,Csrnp1	Xirp1	306
chr9	71861398	71879718	5_Pbx1mt_peak_18555_lociStitched	Tcf12		Tcf12	309
chr18	37878936	37884047	3_Pbx1mt_peak_7861_lociStitched	Diap1		Diap1	311
chr17	32108650	32122038	2_MyoD_2d_MT_peak_6951_lociStitched, 3_Myog_60hr_MT_peak_18004_lociStitched	Notch3	Pdxk-ps	Pdxk-ps	312, 825
chr7	83556555	83581214	3_Pbx1mt_peak_14674_lociStitched, 5_MyoD_2d_MT_peak_13424_lociStitched		Tmc3	Tmc3	312, 120
chr12	111731990	111763196	3_MyoD_2d_MT_peak_3854_lociStitched, 5_Myog_60hr_MT_peak_9995_lociStitched	Apopt1,Klc1	Bag5	Klc1	314, 372
chr10	37478120	37484821	5_Pbx1mt_peak_1839_lociStitched			Marcks	315
